"Species","ABAR/CHLH","AREB1/ABF2","ABCG25","ABA3","NCED3","PDS","ZEP(ABA1)","PSY","LUT5(CYP97A3)","GTG1(GPCR)","ABA2","PYR1","SnRK2.2","AAO3","CPK3","ABI1(PP2CgroupA)","DTX50","AGB1","CIPK","ABA4","GPA1","PYL1","AIT1","GCR2(GPCR)","COP1","PIF4","CHI","PHYB","FPT2","F3RhaT","F3H","STO/BBX24","F7GlcT","ANS","CHS","CYCB1;1","UVR8","A3Glc:2_XylT","DFR","A5GlcT","MYB13","PFG1/MYB12","F3:H","BIM1","SPA1","MYB73","F3AraT","BES1","CRY1","MKP1","FLS1","BGLU6","WRKY36","HY5","RUP1","CHIL","COR27","HYH","ATR","Fd3GlcT","F3Glc:2_XGlcT","BIC1","F7RhaT","OMT1","FLS3","LACS4","HUB2","SHN2","ABCG13","CYP86A4","ANL2","HOTHEAD","DCF","GPAT4","MYB41","SHN1","HUB1","CFL1","MYB106","GPAT6","NFXL2","ABCG11","CUS1","CYP86A8","DCR","LTPG2","BDG1","CD2","ABCG32","LACS1","LACS2","CYP77A6","LTPG1","MYB16","GPAT8","SHN3","HDG1","CYP77A4","CYP86A2","MAPKKK20","MPK3","SOS1","NHX1","SOS2","MKK4","SOS3","MPK6","AVP1","HKT1","DREB2C","HSFA1B","SGT1B","HSP90.2","PIF4","H2A.Z","SGT1A","HSP90.1","HSFA3","HSP70","HSFA7A","HSFA2","DREB2A","HSFA1A","HSFB1","MYB15","ZAT12/RHL41","RAP2.1","MPK3","SIZ1","CBF3","MKK2","MEKK1","CBF1","RAP2.7","ZAT10/STZ","SnRK2.6","MPK4","ICE1","HOS1","LOS2","CBF2","CRPK1","14-3-3λ","MKK4","CesA3","BGAL8","AXY8","XAX1","AGM1","CesA6","AtGUS2","TBG5","GALT2 ","PMR5","GH9A1","AXY3","XLT2","RGXT1","IRX9 ","QUA2","CGR3","GH43A","GMGT1","APSE","FUT4","RGGAT1","HPGT1","CslO(GT2)","BS1","CslC4","BXL1","CesA1","BGAL10","GAUT1","RRT1","MSR1","IRX10 ","CesA1","ADPG1","IRX8","ESK1","PL1_1","ARAD1","GAUT8","BG2","GALT29A","PARVUS","GSL5","SIA1","Tft1","CslA2","GUX1 ","RAY1","QUA3","IRX14","XT1","Bl1_6Gal","GlcAT14A","MAN1","MSR1","IRX7","IRX15","TBG4","CslD3","AGAL3","SlCel9C1","MAN2","GALT31A","XGD1","XAT","MOAT1","GXMT1","XTH31","GALS1","PME5","CslA1","FUT1","AGAL2","OsEgl1","AXY4","GH5BG"
"Cra",0,0,0,0,0,0.333333333333333,0,0,0.2,0,0.6875,0,0.674418604651163,0,0.566666666666667,0.444444444444444,0.1,0.0666666666666667,0.61764705882353,0,0,0,0.2,0,0,0,0,0,0.272727272727273,0,0.25,0,0,0.25,0,0.129032258064516,0,0,0.545454545454545,0,0,0,0.5,0,0,0,0,0,0.25,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0.232558139534884,0.3,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0.222222222222222,0,0.428571428571429,0.5,0,0,0.290322580645161,0.266666666666667,0.388888888888889,0.25,0,0,0,0,0.4,0.222222222222222,0.529411764705882,0.650793650793651,0,0,0.6,0.611111111111111,0.357142857142857,0.645161290322581,0,0,0,0,0,0.272727272727273,0,0.263157894736842,0,0.272727272727273,0,0.1875,0,0,0,0,0,0,0,0,0.650793650793651,0,0,0.512820512820513,0.588235294117647,0,0,0,0.688888888888889,0.622950819672131,0,0,0,0,0.461538461538462,0,0.611111111111111,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0.536585365853659,0,0,0,0,0,0.111111111111111,0,0,0.242424242424242,0,0.238095238095238,0,0,0.222222222222222,0,0,0,0,0,0.222222222222222,0.111111111111111,0,0,0.222222222222222,0,0,0.19047619047619,0,0,0,0,0,0.125,0.536585365853659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647058823529,0,0,0,0.166666666666667,0,0,0,0,0.111111111111111,0
"Bnh",0,0,0.0517241379310345,0.3,0,0,0.4,0,0.409090909090909,0,0.311688311688312,0,0.53763440860215,0,0.521739130434783,0.493827160493827,0.168539325842697,0,0.565656565656566,0,0,0,0.259259259259259,0,0,0,0.5,0,0.125,0.0983606557377049,0.168831168831169,0,0.0754716981132075,0.136986301369863,0,0.0188679245283019,0,0.0357142857142857,0.307692307692308,0.0657894736842105,0.0091743119266055,0.0173913043478261,0.418604651162791,0,0,0.0285714285714286,0.12280701754386,0,0,0,0.164556962025316,0.337662337662338,0,0,0,0.666666666666667,0,0,0,0.120689655172414,0.0377358490566038,0,0.0158730158730159,0.361111111111111,0.142857142857143,0.333333333333333,0,0,0.0508474576271186,0.426666666666667,0.0540540540540541,0.111111111111111,0.309090909090909,0,0,0,0,0,0,0,0,0.0508474576271186,0.425,0.355263157894737,0.447761194029851,0.333333333333333,0.5,0.0571428571428571,0.0535714285714286,0.346938775510204,0.319148936170213,0.44,0,0,0,0,0.0571428571428571,0.458333333333333,0.421686746987952,0.605504587155963,0.57843137254902,0.333333333333333,0.3,0.547368421052632,0.561643835616438,0.352941176470588,0.598039215686274,0,0,0,0.157894736842105,0,0.210526315789474,0,0.12,0,0.210526315789474,0.104166666666667,0.205882352941176,0.102040816326531,0.175438596491228,0.00884955752212389,0.157894736842105,0.148148148148148,0.00943396226415094,0,0,0.57843137254902,0,0,0.582278481012658,0.563829787234043,0,0,0,0.568421052631579,0.588235294117647,0,0,0,0,0.333333333333333,0.0540540540540541,0.561643835616438,0.25,0.255813953488372,0,0,0,0.25,0,0.266666666666667,0,0.0933333333333333,0.119047619047619,0,0.16,0,0.2,0.142857142857143,0,0,0,0.714285714285714,0.444444444444444,0,0.1,0.363636363636364,0.371428571428571,0.347826086956522,0.333333333333333,0.25,0.238095238095238,0.0185185185185185,0,0,0.0238095238095238,0.0952380952380952,0.505376344086022,0.0192307692307692,0.0933333333333333,0.0727272727272727,0.0232558139534884,0.0188679245283019,0.0294117647058824,0,0.0232558139534884,0,0,0.277777777777778,0.285714285714286,0,0.0769230769230769,0.142857142857143,0.166666666666667,0,0,0,0.2,0,0.0238095238095238,0,0.255813953488372,0.256410256410256,0.857142857142857,0.119047619047619,0.2,0.0952380952380952,0.0217391304347826,0,0.0821917808219178,0,0.209302325581395,0,0.34375,0,0.444444444444444,0.833333333333333,0.0303030303030303,0.0821917808219178,0
"Tar",0,0,0.214285714285714,0.375,0,0.4,0.75,0,0.222222222222222,0,0.702702702702703,0,0.769230769230769,0,0.814814814814815,0.791666666666667,0.354166666666667,0.214285714285714,0.788461538461538,0,0,0,0.45945945945946,0,0.181818181818182,0,0,0.166666666666667,0.5,0.107142857142857,0.282051282051282,0,0.1,0.282051282051282,0.2,0.153846153846154,0,0.0285714285714286,0.714285714285714,0.0967741935483871,0.0425531914893617,0.04,0.4,0,0.142857142857143,0.0181818181818182,0.125,0,0.4,0,0.348837209302326,0.162790697674419,0,0,0,0,0,0,0.166666666666667,0.103448275862069,0,0,0,0.65,0.288888888888889,0.742857142857143,0,0,0.214285714285714,0.209302325581395,0,0,0.185185185185185,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0.214285714285714,0.434782608695652,0.1875,0.3,0.5,0.5,0,0.25,0.756756756756757,0.742857142857143,0.363636363636364,0.6,0.0208333333333333,0,0,0,0.363636363636364,0.2,0.654545454545455,0.771929824561403,0.166666666666667,0.5,0.754716981132076,0.707317073170732,0.555555555555556,0.767857142857143,0,0,0,0.277777777777778,0,0,0,0.428571428571429,0,0,0.297297297297297,0.35,0.185185185185185,0.264705882352941,0.0192307692307692,0.31578947368421,0.214285714285714,0.0416666666666667,0,0.0175438596491228,0.771929824561403,0,0,0.660377358490566,0.75,0,0,0,0.777777777777778,0.781818181818182,0.1,0,0,0,0.473684210526316,0,0.707317073170732,0.107142857142857,0.28,0,0,0.7,0.111111111111111,0,0.28,0,0.0851063829787234,0.16,0,0.352941176470588,0.571428571428571,0,0.448275862068966,0,0,0,0,0.75,0,0.117647058823529,0,0.464285714285714,0.133333333333333,0.352941176470588,0.111111111111111,0.105263157894737,0.0384615384615385,0.0952380952380952,0.0434782608695652,0.0740740740740741,0.125,0.508771929824561,0.0384615384615385,0.0851063829787234,0.153846153846154,0.264705882352941,0.0384615384615385,0.155555555555556,0,0.0454545454545455,0,0,0,0.133333333333333,0.176470588235294,0.333333333333333,0.393939393939394,0,0,0,0.166666666666667,0,0.037037037037037,0.0714285714285714,0.7,0.105263157894737,0.111111111111111,0,0.166666666666667,0,0.125,0.0666666666666667,0,0.0888888888888889,0.7,0.333333333333333,0,0.789473684210526,0,0.75,0,0.159090909090909,0.0851063829787234,0
"Aal",0,0,0.204545454545455,0,0,0,0.333333333333333,0,0.52,0,0.456521739130435,0,0.392857142857143,0,0.454545454545455,0.351851851851852,0.407407407407407,0.125,0.442307692307692,0,0,0,0.341463414634146,0,0,0,0,0,0.419354838709677,0.293103448275862,0.272727272727273,0,0.227272727272727,0.290909090909091,0,0.166666666666667,0.1875,0.0869565217391304,0.48,0.226415094339623,0.048780487804878,0.0454545454545455,0.76,0,0,0.0638297872340425,0.285714285714286,0,0,0.2,0.339622641509434,0.579710144927536,0,0,0,0,0,0,0,0.298245614035088,0.125,0,0.0909090909090909,0.529411764705882,0.25,0.162790697674419,0,0.037037037037037,0.170731707317073,0.528301886792453,0,0.5,0.48780487804878,0.153846153846154,0.0454545454545455,0.0196078431372549,0,0,0.048780487804878,0.153846153846154,0,0.166666666666667,0.517857142857143,0.566037735849057,0.488372093023256,0.333333333333333,0.333333333333333,0,0.184210526315789,0.162790697674419,0.146341463414634,0.64,0.5,0.048780487804878,0.153846153846154,0.0363636363636364,0,0.620689655172414,0.547169811320755,0.384615384615385,0.523809523809524,0.2,0.142857142857143,0.480769230769231,0.348837209302326,0.2,0.53125,0,0,0.037037037037037,0,0,0,0,0.214285714285714,0,0,0,0.391304347826087,0,0,0.0392156862745098,0,0,0.0512820512820513,0,0.0363636363636364,0.523809523809524,0,0.0392156862745098,0.354166666666667,0.444444444444444,0.0392156862745098,0,0,0.423076923076923,0.545454545454545,0.04,0,0,0.04,0.5,0,0.348837209302326,0.296296296296296,0.0714285714285714,0,0.285714285714286,0,0.296296296296296,0,0.0714285714285714,0,0.148936170212766,0.173913043478261,0,0,0,0,0.103448275862069,0,0,0,0,0,0,0,0.4,0.48780487804878,0.142857142857143,0.214285714285714,0.296296296296296,0.0769230769230769,0,0,0,0,0,0.472727272727273,0,0.125,0.0689655172413793,0,0,0.361702127659574,0,0,0,0,0.2,0.142857142857143,0,0.125,0.103448275862069,0,0,0,0,0,0,0,0,0.08,0.296296296296296,0,0.19047619047619,0,0,0,0.333333333333333,0.148936170212766,0,0.32258064516129,0.5,0.410714285714286,0,0,0,0.363636363636364,0.145833333333333,0
"Aty",0,0,0.0909090909090909,0,0,0,0.2,0,0.6,0,0.660714285714286,0.142857142857143,0.724137931034483,0,0.714285714285714,0.588235294117647,0.372549019607843,0,0.754385964912281,0,0.25,0.142857142857143,0.541666666666667,0,0,0,0,0,0.733333333333333,0.327586206896552,0.456521739130435,0,0.318181818181818,0.474576271186441,0,0.115384615384615,0,0.122448979591837,0.478260869565217,0.25,0,0,0.853658536585366,0,0,0,0.293103448275862,0,0,0,0.454545454545455,0.541666666666667,0,0.5,0,0,0,0.5,0,0.327586206896552,0.152173913043478,0,0.208333333333333,0.529411764705882,0.392857142857143,0.341463414634146,0,0,0.0909090909090909,0.5,0.0526315789473684,0.5,0.31578947368421,0,0,0,0,0,0,0,0,0.0930232558139535,0.471428571428571,0.509090909090909,0.457142857142857,0.571428571428571,0.833333333333333,0.0555555555555556,0.0952380952380952,0.333333333333333,0.358974358974359,0.775510204081633,0.75,0,0,0,0.0555555555555556,0.731707317073171,0.533333333333333,0.761904761904762,0.779661016949153,0.4,0.5,0.75,0.763636363636364,0.7,0.76271186440678,0,0,0,0.0833333333333333,0,0.428571428571429,0,0.230769230769231,0,0.428571428571429,0.0833333333333333,0.222222222222222,0.0869565217391304,0.0833333333333333,0.0196078431372549,0.0833333333333333,0.0833333333333333,0,0,0,0.779661016949153,0,0,0.655172413793103,0.806451612903226,0,0,0,0.736842105263158,0.793103448275862,0.0833333333333333,0,0,0,0.706896551724138,0,0.763636363636364,0.384615384615385,0.2,0,0.285714285714286,0,0.384615384615385,0,0.2,0,0.130434782608696,0.28,0,0,0.571428571428571,0,0.172413793103448,0,0,0,0,0.818181818181818,0,0,0,0.474576271186441,0,0.466666666666667,0.384615384615385,0.111111111111111,0.04,0.121212121212121,0.142857142857143,0,0,0.5,0.04,0.130434782608696,0.153846153846154,0,0.04,0.2,0,0.0434782608695652,0,0,0,0,0.1875,0.666666666666667,0.172413793103448,0,0,0,0,0.25,0.129032258064516,0,0,0.111111111111111,0.384615384615385,0,0.28,0.25,0,0,0.285714285714286,0.130434782608696,0,0.333333333333333,0,0.650793650793651,0,0.9,0,0.204081632653061,0.130434782608696,0
"Cru",0,0,0.0652173913043478,0,0,0,0.4,0,0.6,0,0.4375,0.153846153846154,0.189655172413793,0,0.272727272727273,0.16,0.277777777777778,0,0.309090909090909,0,0,0.153846153846154,0.319148936170213,0,0,0,0,0,0.461538461538462,0.159090909090909,0.320754716981132,0,0.148936170212766,0.339285714285714,0,0.125,0,0,0.285714285714286,0.163636363636364,0,0,0.657142857142857,0,0,0.0172413793103448,0.162790697674419,0,0,0,0.338983050847458,0.418604651162791,0,0,0,0,0,0,0,0.150943396226415,0.0454545454545455,0,0.0952380952380952,0.3125,0.311475409836066,0.255813953488372,0,0,0.0444444444444444,0.407407407407407,0,0.6,0.24390243902439,0,0,0,0,0,0,0,0,0.0444444444444444,0.454545454545455,0.431034482758621,0.378378378378378,0.285714285714286,0,0,0.0465116279069767,0.255813953488372,0.261904761904762,0.48780487804878,0.333333333333333,0,0,0,0,0.512820512820513,0.389830508474576,0.264705882352941,0.298245614035088,0,0,0.266666666666667,0.145454545454545,0,0.272727272727273,0,1,0,0.133333333333333,0,0,0,0.214285714285714,0,0,0.133333333333333,0.117647058823529,0.133333333333333,0.133333333333333,0.0181818181818182,0.133333333333333,0.133333333333333,0,0,0,0.298245614035088,0,0,0.145454545454545,0.186440677966102,0,0,0,0.2,0.290909090909091,0,0,0,0,0.5,0,0.145454545454545,0.16,0.25,0,0,0,0.166666666666667,0,0.25,0,0.0909090909090909,0,0,0,0,0,0.166666666666667,0,0,0,0,0.875,0,0,0,0.481481481481481,0,0.533333333333333,0.166666666666667,0.117647058823529,0,0,0,0,0,0.440677966101695,0,0.0909090909090909,0,0,0,0.0816326530612245,0,0,0,0,0,0,0,0.363636363636364,0.166666666666667,0,0,0,0,0.375,0,0,0,0.117647058823529,0.166666666666667,0,0,0.375,0,0,0,0.0909090909090909,0,0.4,0,0.567164179104478,0,0.875,0,0.0869565217391304,0.0909090909090909,0
"Cen",0,0,0.0793650793650794,0,0,0.285714285714286,0,0,0.245614035087719,0,0.508474576271186,0,0.442105263157895,0.307692307692308,0.472527472527473,0.31578947368421,0.238095238095238,0.037037037037037,0.484848484848485,0,0,0,0.297297297297297,0,0,0,0,0,0.242424242424242,0.127659574468085,0.253968253968254,0,0.0465116279069767,0.25,0,0.0425531914893617,0,0.0377358490566038,0.441860465116279,0.0819672131147541,0,0,0.5,0,0,0,0.152173913043478,0,0,0,0.253731343283582,0.352941176470588,0,0,0,0,0,0,0,0.145833333333333,0.0208333333333333,0,0,0.40625,0.220588235294118,0.350877192982456,0,0,0.0769230769230769,0.253164556962025,0,0.375,0.25,0,0,0,0,0,0,0,0,0.0769230769230769,0.351063829787234,0.189189189189189,0.414634146341463,0.166666666666667,0.235294117647059,0,0.0634920634920635,0.327586206896552,0.363636363636364,0.425531914893617,0,0,0,0,0,0.386363636363636,0.265822784810127,0.436363636363636,0.461538461538462,0,0,0.415841584158416,0.459770114942529,0.307692307692308,0.473684210526316,0.5,0,0,0,0,0,0,0.115384615384615,0,0,0,0.210526315789474,0,0,0.0217391304347826,0,0,0,0,0,0.461538461538462,0,0.0091743119266055,0.4375,0.404255319148936,0,0,0,0.443298969072165,0.486725663716814,0,0,0,0,0.433962264150943,0,0.459770114942529,0,0.125,0,0,0,0,0,0.125,0,0.0684931506849315,0.13953488372093,0,0.133333333333333,0,0,0.107142857142857,0,0,0,0.444444444444444,0.615384615384615,0,0,0,0.40983606557377,0,0.379310344827586,0,0.108108108108108,0,0.3,0.333333333333333,0.02,0,0.195652173913043,0,0.0666666666666667,0.0784313725490196,0.0181818181818182,0,0.3,0,0,0.185185185185185,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0.297872340425532,0.02,0,0.108108108108108,0,0.5,0.13953488372093,0,0,0.0185185185185185,0,0.0704225352112676,0,0.36734693877551,0,0.476190476190476,0,0.615384615384615,0.5,0.328358208955224,0.0694444444444444,0
"Esy",0,0,0.04,0.333333333333333,0,0,0.25,0,0.266666666666667,0,0.431818181818182,0,0.294117647058824,0,0.229166666666667,0.2,0.326923076923077,0.0769230769230769,0.375,0,0,0,0.289473684210526,0,0.0769230769230769,0,1,0,0.535714285714286,0,0.257142857142857,0,0,0.263157894736842,0,0.230769230769231,0,0,0.363636363636364,0,0,0,0.3,0,0,0,0,0,0,0,0.314285714285714,0.619047619047619,0,0,0.125,0,0,0,0,0,0,0,0,0.633333333333333,0.275,0.475,0,0,0.0416666666666667,0.348837209302326,0,0.230769230769231,0.243243243243243,0.181818181818182,0,0,0,0,0,0.181818181818182,0,0.0416666666666667,0.28,0.377777777777778,0.53125,0.142857142857143,0.25,0,0.0555555555555556,0.45945945945946,0.461538461538462,0.363636363636364,0.666666666666667,0,0.181818181818182,0,0,0.272727272727273,0.317073170731707,0.326923076923077,0.375,0,0,0.346153846153846,0.288888888888889,0,0.368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0.375,0,0,0.239130434782609,0.294117647058824,0,0,0,0.320754716981132,0.388888888888889,0,0,0,0,0.0909090909090909,0,0.288888888888889,0,0.192307692307692,0,0.5,0,0,0,0.222222222222222,0,0.142857142857143,0.260869565217391,0,0,0.857142857142857,0,0.178571428571429,0,0,0,0,0.615384615384615,0,0,0,0.326086956521739,0,0.333333333333333,0,0.16,0,0,0,0,0,0.467741935483871,0,0.142857142857143,0,0,0,0.244897959183673,0,0,0,0,0,0,0.1,0.545454545454545,0.161290322580645,0,0,0,0.166666666666667,0,0,0,0,0.16,0,0,0.272727272727273,0,0,0,0.5,0.159090909090909,0,0.212121212121212,0,0.354166666666667,0,0.615384615384615,0,0.239130434782609,0.159090909090909,0
"Aar",0,0,0.025,0,0,0,0.25,0,0.261904761904762,0,0.282608695652174,0,0.307692307692308,0,0.25,0.2,0.132075471698113,0,0.333333333333333,0,0,0,0.146341463414634,0,0,0,0,0,0.32,0.151515151515152,0.151515151515152,0,0.136363636363636,0.176470588235294,0,0,0,0.0606060606060606,0.238095238095238,0.135135135135135,0,0,0.263157894736842,0,0,0,0.15625,0,0,0,0.176470588235294,0.378787878787879,0,0,0,0,0,0,0,0.151515151515152,0.04,0,0.0344827586206897,0.515151515151515,0.162162162162162,0,0,0.0181818181818182,0.0256410256410256,0.355555555555556,0,0.428571428571429,0.457627118644068,0,0,0.0192307692307692,0,0,0,0,0,0.025,0.303571428571429,0.294117647058824,0.351851851851852,0.125,0.166666666666667,0,0.0256410256410256,0,0,0.142857142857143,0,0,0,0.0188679245283019,0,0.0909090909090909,0.346938775510204,0.338983050847458,0.290909090909091,0,0.166666666666667,0.311111111111111,0.365384615384615,0,0.272727272727273,0,0,0.0377358490566038,0,0,0,0,0.0909090909090909,0,0,0,0.0952380952380952,0,0,0.0612244897959184,0,0,0,0,0.0169491525423729,0.290909090909091,0,0.0181818181818182,0.30188679245283,0.25,0.0185185185185185,0,0,0.306122448979592,0.254545454545455,0,0,0,0.0185185185185185,0.307692307692308,0,0.365384615384615,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0.266666666666667,0,0,0.137931034482759,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.0740740740740741,0.0294117647058824,0.0344827586206897,0,0,0.136363636363636,0.0740740740740741,0.0425531914893617,0,0.121212121212121,0.0740740740740741,0.119047619047619,0,0.0833333333333333,0,0,0,0,0.125,0,0.137931034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0.2,0,0,0,0.125,0.0416666666666667,0
"Tha",0,0,0.0208333333333333,0,0,0,0.2,0,0.225,0,0.381818181818182,0,0.208955223880597,0,0.134328358208955,0.126984126984127,0.08,0,0.212121212121212,0,0,0,0.229166666666667,0,0,0,0,0,0.45,0.117647058823529,0.209302325581395,0,0.0606060606060606,0.244444444444444,0.285714285714286,0,0,0.0645161290322581,0.12,0.0714285714285714,0,0,0.5,0,0,0,0.117647058823529,0,0,0,0.266666666666667,0.209302325581395,0,0,0,0,0,0,0,0.125,0.0740740740740741,0,0.0588235294117647,0.441176470588235,0.266666666666667,0.236842105263158,0,0,0.0212765957446809,0.218181818181818,0,0,0.22,0,0,0,0,0,0,0,0,0.0222222222222222,0.206896551724138,0.192982456140351,0.2,0.222222222222222,0.2,0,0.0208333333333333,0.268292682926829,0.222222222222222,0.464285714285714,0,0,0,0,0,0.392857142857143,0.178571428571429,0.205128205128205,0.257575757575758,0,0.4,0.217391304347826,0.12987012987013,0,0.230769230769231,0,0,0.0136986301369863,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0.0533333333333333,0,0,0,0,0,0.257575757575758,0,0.0126582278481013,0.121621621621622,0.1375,0,0,0,0.245901639344262,0.25,0,0,0,0,0.431818181818182,0,0.12987012987013,0,0,0,0.142857142857143,0,0,0,0,0,0.0769230769230769,0.16,0,0,0,0,0.116279069767442,0,0,0,0,0,0,0.0714285714285714,0,0.3,0,0,0,0,0,0,0,0,0.0714285714285714,0.310344827586207,0,0.0769230769230769,0,0,0,0.08,0,0,0,0,0,0,0,0,0.116279069767442,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.0714285714285714,0,0.142857142857143,0.0816326530612245,0,0.25,0,0.308823529411765,0,0,0,0.0869565217391304,0.0769230769230769,0
