"GeneFamily","ConsecutiveZeros","Trait"
"GTG1(GPCR)",8,"list_1"
"BIM1",8,"list_2"
"BIC1",8,"list_2"
"AREB1/ABF2",7,"list_1"
"GCR2(GPCR)",7,"list_1"
"STO/BBX24",7,"list_2"
"COR27",7,"list_2"
"AGB1",6,"list_1"
"ABA3",5,"list_1"
"PSY",5,"list_1"
"BES1",5,"list_2"
"WRKY36",5,"list_2"
"PYR1",4,"list_1"
"ABA4",4,"list_1"
"GPA1",4,"list_1"
"PYL1",4,"list_1"
"COP1",4,"list_2"
"RUP1",4,"list_2"
"ABAR/CHLH",3,"list_1"
"AAO3",3,"list_1"
"F3RhaT",3,"list_2"
"F3H",3,"list_2"
"F7GlcT",3,"list_2"
"ANS",3,"list_2"
"CYCB1;1",3,"list_2"
"UVR8",3,"list_2"
"A3Glc:2_XylT",3,"list_2"
"A5GlcT",3,"list_2"
"MYB13",3,"list_2"
"PFG1/MYB12",3,"list_2"
"SPA1",3,"list_2"
"MYB73",3,"list_2"
"F3AraT",3,"list_2"
"FLS1",3,"list_2"
"ATR",3,"list_2"
"Fd3GlcT",3,"list_2"
"F3Glc:2_XGlcT",3,"list_2"
"F7RhaT",3,"list_2"
"FLS3",3,"list_2"
"NCED3",2,"list_1"
"ZEP(ABA1)",2,"list_1"
"AIT1",2,"list_1"
"CHI",2,"list_2"
"FPT2",2,"list_2"
"CHS",2,"list_2"
"F3:H",2,"list_2"
"HY5",2,"list_2"
"CHIL",2,"list_2"
"HYH",2,"list_2"
"PDS",1,"list_1"
"PHYB",1,"list_2"
"CRY1",1,"list_2"
"BGLU6",1,"list_2"
"ABCG25",0,"list_1"
"LUT5(CYP97A3)",0,"list_1"
"ABA2",0,"list_1"
"SnRK2.2",0,"list_1"
"CPK3",0,"list_1"
"ABI1(PP2CgroupA)",0,"list_1"
"DTX50",0,"list_1"
"CIPK",0,"list_1"
"DFR",0,"list_2"
"MKP1",0,"list_2"
"OMT1",0,"list_2"
