"Species","list_1_AT5G13630","list_1_AT1G45249","list_1_AT1G71960","list_1_AT1G16540","list_1_AT3G14440","list_1_AT4G14210","list_1_AT5G67030","list_1_AT5G17230","list_1_AT1G31800","list_1_AT1G64990","list_1_AT1G52340","list_1_AT4G17870","list_1_AT3G50500","list_1_AT2G27150","list_1_AT4G23650","list_1_AT4G26080","list_1_AT5G52050","list_1_AT4G34460","list_1_AT3G17510","list_1_AT1G67080","list_1_AT2G26300","list_1_AT5G46790","list_1_AT1G69850","list_1_AT1G52920"
"Cra",0,0,0,0,0,0.333333333333333,0,0,0.2,0,0.6875,0,0.674418604651163,0,0.566666666666667,0.444444444444444,0.1,0.0666666666666667,0.61764705882353,0,0,0,0.2,0
"Bnh",0,0,0.0517241379310345,0.3,0,0,0.4,0,0.409090909090909,0,0.311688311688312,0,0.53763440860215,0,0.521739130434783,0.493827160493827,0.168539325842697,0,0.565656565656566,0,0,0,0.259259259259259,0
"Tar",0,0,0.214285714285714,0.375,0,0.4,0.75,0,0.222222222222222,0,0.702702702702703,0,0.769230769230769,0,0.814814814814815,0.791666666666667,0.354166666666667,0.214285714285714,0.788461538461538,0,0,0,0.45945945945946,0
"Aal",0,0,0.204545454545455,0,0,0,0.333333333333333,0,0.52,0,0.456521739130435,0,0.392857142857143,0,0.454545454545455,0.351851851851852,0.407407407407407,0.125,0.442307692307692,0,0,0,0.341463414634146,0
"Aty",0,0,0.0909090909090909,0,0,0,0.2,0,0.6,0,0.660714285714286,0.142857142857143,0.724137931034483,0,0.714285714285714,0.588235294117647,0.372549019607843,0,0.754385964912281,0,0.25,0.142857142857143,0.541666666666667,0
"Cru",0,0,0.0652173913043478,0,0,0,0.4,0,0.6,0,0.4375,0.153846153846154,0.189655172413793,0,0.272727272727273,0.16,0.277777777777778,0,0.309090909090909,0,0,0.153846153846154,0.319148936170213,0
"Cen",0,0,0.0793650793650794,0,0,0.285714285714286,0,0,0.245614035087719,0,0.508474576271186,0,0.442105263157895,0.307692307692308,0.472527472527473,0.31578947368421,0.238095238095238,0.037037037037037,0.484848484848485,0,0,0,0.297297297297297,0
"Esy",0,0,0.04,0.333333333333333,0,0,0.25,0,0.266666666666667,0,0.431818181818182,0,0.294117647058824,0,0.229166666666667,0.2,0.326923076923077,0.0769230769230769,0.375,0,0,0,0.289473684210526,0
"Aar",0,0,0.025,0,0,0,0.25,0,0.261904761904762,0,0.282608695652174,0,0.307692307692308,0,0.25,0.2,0.132075471698113,0,0.333333333333333,0,0,0,0.146341463414634,0
"Tha",0,0,0.0208333333333333,0,0,0,0.2,0,0.225,0,0.381818181818182,0,0.208955223880597,0,0.134328358208955,0.126984126984127,0.08,0,0.212121212121212,0,0,0,0.229166666666667,0
"Cpa",0,0,0.264705882352941,0,0,0.4,0.333333333333333,0,0.433333333333333,0,0.6,0,0.314285714285714,0,0.3,0.405405405405405,0.351351351351351,0,0.333333333333333,1,0,0,0.409090909090909,0
"Mol",0,0,0.16,0,0,0,0.333333333333333,0,0.166666666666667,0,0.51219512195122,0,0.133333333333333,0,0.0285714285714286,0.162162162162162,0.447368421052632,0,0.137931034482759,0,0,0,0.111111111111111,0
"Gsz",0,0,0.161764705882353,0,0,0,0.25,0,0.371428571428571,0,0.569230769230769,0,0.525641025641026,0,0.533333333333333,0.415584415584416,0.140350877192982,0,0.530120481927711,0,0.5,0,0.180327868852459,0
"Gra",0,0,0.0666666666666667,0,0,0,0.7,0,0.457831325301205,0,0.591549295774648,0.0476190476190476,0.371794871794872,0,0.380281690140845,0.291139240506329,0.17741935483871,0.105263157894737,0.36144578313253,0,0.285714285714286,0.0476190476190476,0.242424242424242,0
"Tcc",0,0,0.163636363636364,0,0.538461538461538,0,0.25,0,0.431034482758621,0,0.4,0,0.41025641025641,0,0.4,0.395348837209302,0.404255319148936,0,0.380952380952381,0,0.2,0,0.4,0
"Hha",0,0,0.142857142857143,0.25,0.421052631578947,0.166666666666667,0,0,0.27027027027027,0,0.333333333333333,0,0.257575757575758,0,0.172413793103448,0.176470588235294,0.471698113207547,0,0.213114754098361,0,0,0,0.235294117647059,0
"Asi",0,0,0.119047619047619,0,0.285714285714286,0,0,0,0.268292682926829,0,0.465116279069767,0,0.391304347826087,0,0.235294117647059,0.270833333333333,0.232558139534884,0.3,0.46,0,0,0,0.333333333333333,0
"Tos",0,0,0.151515151515152,0,0.235294117647059,0.142857142857143,0.428571428571429,0,0.181818181818182,0,0.318181818181818,0,0.432432432432432,0,0.290322580645161,0.361111111111111,0.0888888888888889,0,0.416666666666667,0,0,0,0.285714285714286,0
"Csv",0,0,0.136363636363636,0,0.25,0,0.6,0,0.408163265306122,0,0.596153846153846,0,0.384615384615385,0,0.4,0.318181818181818,0.4,0,0.404761904761905,0,0.333333333333333,0,0.333333333333333,0
"Mai",0,0,0.113207547169811,0,0.307692307692308,0,0.470588235294118,0,0.354838709677419,0,0.671875,0,0.354838709677419,0,0.421052631578947,0.26865671641791,0.25,0,0.366197183098592,0,0.4,0,0.258064516129032,0
"Aya",0,0,0.307692307692308,0.111111111111111,0.166666666666667,0,0.666666666666667,0,0.789473684210526,0,0.728813559322034,0.222222222222222,0.727272727272727,0,0.725,0.361702127659574,0.428571428571429,0,0.696969696969697,0,0,0.222222222222222,0.723404255319149,0.545454545454545
"Cfo",0,0,0.0731707317073171,0,0,0,0,0,0.170731707317073,0,0.0967741935483871,0,0.108108108108108,0,0.178571428571429,0.128205128205128,0,0,0.108108108108108,0,0,0,0.0967741935483871,0
"Aca",0,0,0.162790697674419,0.333333333333333,0,0,0.1,0,0.5,0,0.608695652173913,0,0.324324324324324,0,0.3125,0.3,0.386363636363636,0,0.41025641025641,0,0,0,0.423076923076923,0
"Ptr",0,0,0.114285714285714,0,0.45,0,0.714285714285714,0,0.445945945945946,0,0.582089552238806,0,0.154929577464789,0,0.123076923076923,0.219178082191781,0.456140350877193,0,0.17948717948718,0,0,0,0.313432835820896,0
"Sdu",0,0,0.12280701754386,0,0.285714285714286,0,0.25,0,0.195121951219512,0,0.3,0,0.309090909090909,0,0.186440677966102,0.116666666666667,0.153846153846154,0,0.31578947368421,0,0,0,0.145833333333333,0
"Por",0,0,0.14,0,0.461538461538462,0.333333333333333,0.25,0,0.25,0,0.660714285714286,0,0.404255319148936,0,0.358490566037736,0.266666666666667,0.136363636363636,0,0.381818181818182,0,0,0,0.263157894736842,0
"Ela",0,0,0.103448275862069,0,0,0,0.166666666666667,0,0.7,0,0.67741935483871,0.166666666666667,0.475,0,0.41304347826087,0.317073170731707,0.351351351351351,0.1,0.380952380952381,0,0.428571428571429,0.166666666666667,0.51219512195122,0
"Mes",0,0,0.0983606557377049,0,0,0,0.363636363636364,0,0.54639175257732,0,0.621951219512195,0,0.426229508196721,0,0.428571428571429,0.455882352941176,0.413793103448276,0,0.465753424657534,0,0,0,0.333333333333333,0
"Kob",0,0,0,0,0,0,0,0,0,0,0.34375,0,0.195121951219512,0,0.170731707317073,0.146341463414634,0.354838709677419,0,0.206896551724138,0,0,0,0.346153846153846,0
"Luy",0,0,0.272727272727273,0.272727272727273,0.25,0.5,0.75,0,0.833333333333333,0,0.6875,0.117647058823529,0.696629213483146,0,0.666666666666667,0.622222222222222,0.346153846153846,0.032258064516129,0.73469387755102,0,0.125,0.117647058823529,0.493150684931507,0
"Twi",0,0,0.186440677966102,0,0.5,0,0,0,0.305555555555556,0,0.456521739130435,0,0.637931034482759,0,0.666666666666667,0.516666666666667,0.297872340425532,0,0.666666666666667,0,0,0,0.448275862068966,0
"Med",0,0,0.12,0,0,0.285714285714286,0.416666666666667,0,0.305084745762712,0,0.297297297297297,0.0588235294117647,0.333333333333333,0,0.328358208955224,0.292307692307692,0.172413793103448,0.0555555555555556,0.4,0,0.0833333333333333,0.0588235294117647,0.0638297872340425,0
"Egr",0,0,0.130952380952381,0,0.352941176470588,0,0.892857142857143,0,0.614754098360656,0,0.651162790697674,0.166666666666667,0.454545454545455,0,0.340425531914894,0.318181818181818,0.584415584415584,0,0.509803921568627,0,0.375,0.166666666666667,0.363636363636364,0
"Pgu",0,0,0.2,0,0,0.2,0.5,0.4,0.46,0,0.275,0,0.404761904761905,0,0.351351351351351,0.204081632653061,0.347826086956522,0,0.45,0,0.4,0,0.297872340425532,0
"Ptu",0,0,0.192307692307692,0,0.384615384615385,0,0.666666666666667,0,0.547619047619048,0,0.555555555555556,0,0.418604651162791,0,0.325,0.28,0.422222222222222,0.111111111111111,0.414634146341463,0,0,0,0.291666666666667,0
"Ppy",0,0,0.0972222222222222,0,0.210526315789474,0,0.222222222222222,0,0.428571428571429,0,0.298245614035088,0,0.388059701492537,0,0.206349206349206,0.347826086956522,0.272727272727273,0,0.424242424242424,0,0,0,0.306666666666667,0
"Mdh",0,0,0.0638297872340425,0,0,0,0.222222222222222,0,0.425531914893617,0,0.195652173913043,0,0.40983606557377,0,0.26984126984127,0.53030303030303,0.227272727272727,0.181818181818182,0.440677966101695,0,0.1,0,0.364864864864865,0
"Ppl",0,0,0.037037037037037,0,0,0,0.1,0,0.550724637681159,0,0.454545454545455,0,0.2,0,0.166666666666667,0.25,0.403846153846154,0,0.256410256410256,0,0,0,0.291666666666667,0
"Rch",0,0,0.1875,0.375,0.25,0,0.416666666666667,0,0.597701149425287,0,0.507936507936508,0,0.25531914893617,0,0.25,0.348837209302326,0.327272727272727,0,0.302325581395349,0,0,0,0.484848484848485,0
"Fve",0,0,0,0,0,0,0,0,0.493670886075949,0,0.409090909090909,0.272727272727273,0.232558139534884,0,0.25,0.225,0.294117647058824,0,0.230769230769231,0,0,0.3,0.392857142857143,0
"Mal",0,0,0.15,0,0.454545454545455,0,0.4,0,0.476190476190476,0,0.553191489361702,0,0.292682926829268,0,0.194444444444444,0.35,0.547619047619048,0,0.325,0,0,0,0.425531914893617,0
"Bon",0,0,0.0512820512820513,0,0,0.333333333333333,0.25,0,0.375,0,0.285714285714286,0,0.354838709677419,0,0.206896551724138,0.297297297297297,0.394736842105263,0,0.363636363636364,0,0,0,0.24390243902439,0
"Csc",0,0,0.1,0,0.285714285714286,0.333333333333333,1,0,0.588235294117647,0,0.428571428571429,0,0.657894736842105,0,0.638888888888889,0.176470588235294,0.379310344827586,0.125,0.657894736842105,0,0,0,0.432432432432432,0
"Rru",0,0,0.0204081632653061,0,0.222222222222222,0.125,0.5,0,0.5625,0,0.580645161290323,0,0.219512195121951,0,0.228571428571429,0.325,0.166666666666667,0,0.238095238095238,0,0.222222222222222,0,0.347826086956522,0
"Cla",0,0,0.170731707317073,0,0,0,0.5,0,0.475,0,0.583333333333333,0,0.317073170731707,0,0.282051282051282,0.0277777777777778,0.25,0,0.386363636363636,0,0,0,0.232558139534884,0
"Csa",0,0,0.128205128205128,0,0,0,0.5,0,0.41025641025641,0,0.574468085106383,0,0.348837209302326,0,0.138888888888889,0.17948717948718,0.486486486486487,0,0.272727272727273,0,0,0,0.34,0
"Trs",0,0,0.0930232558139535,0,0,0,0.5,0,0.575,0,0.46,0,0.5,0,0.342105263157895,0.380952380952381,0.526315789473684,0.1,0.465116279069767,0,0.25,0,0.361702127659574,0
"Jrr",0,0,0.120689655172414,0,0,0,0.7,0,0.475409836065574,0,0.4,0,0.3,0,0.163934426229508,0.254237288135593,0.344827586206897,0,0.279411764705882,0,0,0,0.133333333333333,0
"Cip",0,0,0.185185185185185,0,0.3,0,0.818181818181818,0,0.53125,0,0.657534246575342,0,0.365079365079365,0,0.413793103448276,0.385964912280702,0.303571428571429,0,0.409090909090909,1,0.111111111111111,0,0.229508196721311,0
"Mrb",0,0,0.1,0,0.333333333333333,0.625,0.76,0,0.6,0,0.425,0,0.363636363636364,0,0.205128205128205,0.232558139534884,0.30952380952381,0,0.303030303030303,0,0.4,0,0.395833333333333,0
"Bep",0,0,0.0566037735849057,0,0.0666666666666667,0.25,0.888888888888889,0,0.555555555555556,0,0.593220338983051,0,0.263157894736842,0,0.375,0,0.298245614035088,0,0.418604651162791,0,0,0,0.557377049180328,0
"Com",0,0,0.166666666666667,0.5,0,0,0.6,0,0.514285714285714,0,0.712328767123288,0,0.333333333333333,0,0.394736842105263,0.285714285714286,0.433962264150943,0,0.378378378378378,0,0,0,0.5,0
"Cmx",0,0,0.21875,0,0.3125,0,0.3,0,0.30952380952381,0,0.630769230769231,0,0.13953488372093,0,0.222222222222222,0.276595744680851,0.492307692307692,0,0.111111111111111,0,0,0,0.448717948717949,0
"Gmg",0,0,0.275510204081633,0.25,0,0,0.230769230769231,0,0.450704225352113,0,0.569444444444444,0,0.622641509433962,0.111111111111111,0.523809523809524,0.5,0.43956043956044,0.0588235294117647,0.621621621621622,0,0.357142857142857,0,0.572815533980582,0
"Pvu",0,0,0.161290322580645,0.25,0.285714285714286,0,0.25,0,0.553846153846154,0,0.655172413793103,0,0.388059701492537,0,0.372549019607843,0.347826086956522,0.25531914893617,0,0.371428571428571,0,0,0,0.538461538461538,0
