"Species","list_2_AT2G32950","list_2_AT2G43010","list_2_AT3G55120","list_2_AT2G18790","list_2_AT2G22960","list_2_AT1G30530","list_2_AT3G51240","list_2_AT1G06040","list_2_AT2G36790","list_2_AT4G22880","list_2_AT5G13930","list_2_AT4G37490","list_2_AT5G63860","list_2_AT5G54060","list_2_AT5G42800","list_2_AT4G14090","list_2_AT1G06180","list_2_AT2G47460","list_2_AT5G07990","list_2_AT5G08130","list_2_AT2G46340","list_2_AT4G37260","list_2_AT5G17030","list_2_AT1G19350","list_2_AT4G08920","list_2_AT3G55270","list_2_AT5G08640","list_2_AT1G60270","list_2_AT1G69810","list_2_AT5G11260","list_2_AT5G52250","list_2_AT5G05270","list_2_AT5G42900","list_2_AT3G17609","list_2_AT5G40820","list_2_AT5G17050","list_2_AT5G54010","list_2_AT3G52740","list_2_AT1G06000","list_2_AT5G54160","list_2_AT5G63590"
"Cra",0,0,0,0,0.272727272727273,0,0.25,0,0,0.25,0,0.129032258064516,0,0,0.545454545454545,0,0,0,0.5,0,0,0,0,0,0.25,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0.232558139534884
"Bnh",0,0,0.5,0,0.125,0.0983606557377049,0.168831168831169,0,0.0754716981132075,0.136986301369863,0,0.0188679245283019,0,0.0357142857142857,0.307692307692308,0.0657894736842105,0.0091743119266055,0.0173913043478261,0.418604651162791,0,0,0.0285714285714286,0.12280701754386,0,0,0,0.164556962025316,0.337662337662338,0,0,0,0.666666666666667,0,0,0,0.120689655172414,0.0377358490566038,0,0.0158730158730159,0.361111111111111,0.142857142857143
"Tar",0.181818181818182,0,0,0.166666666666667,0.5,0.107142857142857,0.282051282051282,0,0.1,0.282051282051282,0.2,0.153846153846154,0,0.0285714285714286,0.714285714285714,0.0967741935483871,0.0425531914893617,0.04,0.4,0,0.142857142857143,0.0181818181818182,0.125,0,0.4,0,0.348837209302326,0.162790697674419,0,0,0,0,0,0,0.166666666666667,0.103448275862069,0,0,0,0.65,0.288888888888889
"Aal",0,0,0,0,0.419354838709677,0.293103448275862,0.272727272727273,0,0.227272727272727,0.290909090909091,0,0.166666666666667,0.1875,0.0869565217391304,0.48,0.226415094339623,0.048780487804878,0.0454545454545455,0.76,0,0,0.0638297872340425,0.285714285714286,0,0,0.2,0.339622641509434,0.579710144927536,0,0,0,0,0,0,0,0.298245614035088,0.125,0,0.0909090909090909,0.529411764705882,0.25
"Aty",0,0,0,0,0.733333333333333,0.327586206896552,0.456521739130435,0,0.318181818181818,0.474576271186441,0,0.115384615384615,0,0.122448979591837,0.478260869565217,0.25,0,0,0.853658536585366,0,0,0,0.293103448275862,0,0,0,0.454545454545455,0.541666666666667,0,0.5,0,0,0,0.5,0,0.327586206896552,0.152173913043478,0,0.208333333333333,0.529411764705882,0.392857142857143
"Cru",0,0,0,0,0.461538461538462,0.159090909090909,0.320754716981132,0,0.148936170212766,0.339285714285714,0,0.125,0,0,0.285714285714286,0.163636363636364,0,0,0.657142857142857,0,0,0.0172413793103448,0.162790697674419,0,0,0,0.338983050847458,0.418604651162791,0,0,0,0,0,0,0,0.150943396226415,0.0454545454545455,0,0.0952380952380952,0.3125,0.311475409836066
"Cen",0,0,0,0,0.242424242424242,0.127659574468085,0.253968253968254,0,0.0465116279069767,0.25,0,0.0425531914893617,0,0.0377358490566038,0.441860465116279,0.0819672131147541,0,0,0.5,0,0,0,0.152173913043478,0,0,0,0.253731343283582,0.352941176470588,0,0,0,0,0,0,0,0.145833333333333,0.0208333333333333,0,0,0.40625,0.220588235294118
"Esy",0.0769230769230769,0,1,0,0.535714285714286,0,0.257142857142857,0,0,0.263157894736842,0,0.230769230769231,0,0,0.363636363636364,0,0,0,0.3,0,0,0,0,0,0,0,0.314285714285714,0.619047619047619,0,0,0.125,0,0,0,0,0,0,0,0,0.633333333333333,0.275
"Aar",0,0,0,0,0.32,0.151515151515152,0.151515151515152,0,0.136363636363636,0.176470588235294,0,0,0,0.0606060606060606,0.238095238095238,0.135135135135135,0,0,0.263157894736842,0,0,0,0.15625,0,0,0,0.176470588235294,0.378787878787879,0,0,0,0,0,0,0,0.151515151515152,0.04,0,0.0344827586206897,0.515151515151515,0.162162162162162
"Tha",0,0,0,0,0.45,0.117647058823529,0.209302325581395,0,0.0606060606060606,0.244444444444444,0.285714285714286,0,0,0.0645161290322581,0.12,0.0714285714285714,0,0,0.5,0,0,0,0.117647058823529,0,0,0,0.266666666666667,0.209302325581395,0,0,0,0,0,0,0,0.125,0.0740740740740741,0,0.0588235294117647,0.441176470588235,0.266666666666667
