"Species","list_3_AT4G23850","list_3_AT1G55250","list_3_AT5G11190","list_3_AT1G51460","list_3_AT1G01600","list_3_AT4G00730","list_3_AT1G72970","list_3_AT3G48720","list_3_AT1G01610","list_3_AT4G28110","list_3_AT1G15360","list_3_AT2G44950","list_3_AT2G33510","list_3_AT3G01140","list_3_AT2G38110","list_3_AT5G05660","list_3_AT1G17840","list_3_AT3G04290","list_3_AT2G45970","list_3_AT5G23940","list_3_AT3G43720","list_3_AT1G64670","list_3_SOLYC01G091630","list_3_AT2G26910","list_3_AT2G47240","list_3_AT1G49430","list_3_AT3G10570","list_3_AT1G27950","list_3_AT5G15310","list_3_AT4G00400","list_3_AT5G25390","list_3_AT3G61150","list_3_AT5G04660","list_3_AT4G00360"
"Cra",0.3,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0.222222222222222,0,0.428571428571429,0.5,0,0,0.290322580645161,0.266666666666667,0.388888888888889,0.25,0,0,0,0,0.4,0.222222222222222
"Bnh",0.333333333333333,0,0,0.0508474576271186,0.426666666666667,0.0540540540540541,0.111111111111111,0.309090909090909,0,0,0,0,0,0,0,0,0.0508474576271186,0.425,0.355263157894737,0.447761194029851,0.333333333333333,0.5,0.0571428571428571,0.0535714285714286,0.346938775510204,0.319148936170213,0.44,0,0,0,0,0.0571428571428571,0.458333333333333,0.421686746987952
"Tar",0.742857142857143,0,0,0.214285714285714,0.209302325581395,0,0,0.185185185185185,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0.214285714285714,0.434782608695652,0.1875,0.3,0.5,0.5,0,0.25,0.756756756756757,0.742857142857143,0.363636363636364,0.6,0.0208333333333333,0,0,0,0.363636363636364,0.2
"Aal",0.162790697674419,0,0.037037037037037,0.170731707317073,0.528301886792453,0,0.5,0.48780487804878,0.153846153846154,0.0454545454545455,0.0196078431372549,0,0,0.048780487804878,0.153846153846154,0,0.166666666666667,0.517857142857143,0.566037735849057,0.488372093023256,0.333333333333333,0.333333333333333,0,0.184210526315789,0.162790697674419,0.146341463414634,0.64,0.5,0.048780487804878,0.153846153846154,0.0363636363636364,0,0.620689655172414,0.547169811320755
"Aty",0.341463414634146,0,0,0.0909090909090909,0.5,0.0526315789473684,0.5,0.31578947368421,0,0,0,0,0,0,0,0,0.0930232558139535,0.471428571428571,0.509090909090909,0.457142857142857,0.571428571428571,0.833333333333333,0.0555555555555556,0.0952380952380952,0.333333333333333,0.358974358974359,0.775510204081633,0.75,0,0,0,0.0555555555555556,0.731707317073171,0.533333333333333
"Cru",0.255813953488372,0,0,0.0444444444444444,0.407407407407407,0,0.6,0.24390243902439,0,0,0,0,0,0,0,0,0.0444444444444444,0.454545454545455,0.431034482758621,0.378378378378378,0.285714285714286,0,0,0.0465116279069767,0.255813953488372,0.261904761904762,0.48780487804878,0.333333333333333,0,0,0,0,0.512820512820513,0.389830508474576
"Cen",0.350877192982456,0,0,0.0769230769230769,0.253164556962025,0,0.375,0.25,0,0,0,0,0,0,0,0,0.0769230769230769,0.351063829787234,0.189189189189189,0.414634146341463,0.166666666666667,0.235294117647059,0,0.0634920634920635,0.327586206896552,0.363636363636364,0.425531914893617,0,0,0,0,0,0.386363636363636,0.265822784810127
"Esy",0.475,0,0,0.0416666666666667,0.348837209302326,0,0.230769230769231,0.243243243243243,0.181818181818182,0,0,0,0,0,0.181818181818182,0,0.0416666666666667,0.28,0.377777777777778,0.53125,0.142857142857143,0.25,0,0.0555555555555556,0.45945945945946,0.461538461538462,0.363636363636364,0.666666666666667,0,0.181818181818182,0,0,0.272727272727273,0.317073170731707
"Aar",0,0,0.0181818181818182,0.0256410256410256,0.355555555555556,0,0.428571428571429,0.457627118644068,0,0,0.0192307692307692,0,0,0,0,0,0.025,0.303571428571429,0.294117647058824,0.351851851851852,0.125,0.166666666666667,0,0.0256410256410256,0,0,0.142857142857143,0,0,0,0.0188679245283019,0,0.0909090909090909,0.346938775510204
"Tha",0.236842105263158,0,0,0.0212765957446809,0.218181818181818,0,0,0.22,0,0,0,0,0,0,0,0,0.0222222222222222,0.206896551724138,0.192982456140351,0.2,0.222222222222222,0.2,0,0.0208333333333333,0.268292682926829,0.222222222222222,0.464285714285714,0,0,0,0,0,0.392857142857143,0.178571428571429
