"Species","list_6_AT3G23250","list_6_AT5G59820","list_6_AT1G46768","list_6_AT3G45640","list_6_AT5G60410","list_6_AT4G25480","list_6_AT4G29810","list_6_AT4G08500","list_6_AT4G25490","list_6_AT2G28550","list_6_AT1G27730","list_6_AT4G33950","list_6_AT4G01370","list_6_AT3G26744","list_6_AT2G39810","list_6_AT2G36530","list_6_AT4G25470","list_6_AT1G16670","list_6_AT5G10450","list_6_AT1G51660"
"Cra",0,0,0,0.650793650793651,0,0,0.512820512820513,0.588235294117647,0,0,0,0.688888888888889,0.622950819672131,0,0,0,0,0.461538461538462,0,0.611111111111111
"Bnh",0.00943396226415094,0,0,0.57843137254902,0,0,0.582278481012658,0.563829787234043,0,0,0,0.568421052631579,0.588235294117647,0,0,0,0,0.333333333333333,0.0540540540540541,0.561643835616438
"Tar",0.0416666666666667,0,0.0175438596491228,0.771929824561403,0,0,0.660377358490566,0.75,0,0,0,0.777777777777778,0.781818181818182,0.1,0,0,0,0.473684210526316,0,0.707317073170732
"Aal",0.0512820512820513,0,0.0363636363636364,0.523809523809524,0,0.0392156862745098,0.354166666666667,0.444444444444444,0.0392156862745098,0,0,0.423076923076923,0.545454545454545,0.04,0,0,0.04,0.5,0,0.348837209302326
"Aty",0,0,0,0.779661016949153,0,0,0.655172413793103,0.806451612903226,0,0,0,0.736842105263158,0.793103448275862,0.0833333333333333,0,0,0,0.706896551724138,0,0.763636363636364
"Cru",0,0,0,0.298245614035088,0,0,0.145454545454545,0.186440677966102,0,0,0,0.2,0.290909090909091,0,0,0,0,0.5,0,0.145454545454545
"Cen",0,0,0,0.461538461538462,0,0.0091743119266055,0.4375,0.404255319148936,0,0,0,0.443298969072165,0.486725663716814,0,0,0,0,0.433962264150943,0,0.459770114942529
"Esy",0,0,0,0.375,0,0,0.239130434782609,0.294117647058824,0,0,0,0.320754716981132,0.388888888888889,0,0,0,0,0.0909090909090909,0,0.288888888888889
"Aar",0,0,0.0169491525423729,0.290909090909091,0,0.0181818181818182,0.30188679245283,0.25,0.0185185185185185,0,0,0.306122448979592,0.254545454545455,0,0,0,0.0185185185185185,0.307692307692308,0,0.365384615384615
"Tha",0,0,0,0.257575757575758,0,0.0126582278481013,0.121621621621622,0.1375,0,0,0,0.245901639344262,0.25,0,0,0,0,0.431818181818182,0,0.12987012987013
"Cpa",0,0,0,0.511111111111111,0,0,0.439024390243902,0.523809523809524,0,0,0,0.333333333333333,0.5,0,0,0,0,0.636363636363636,0,0.520833333333333
"Mol",0,0,0,0.157894736842105,0,0,0.1,0.148148148148148,0,0,0,0.129032258064516,0.15,0,0,0,0,0,0.125,0.0714285714285714
"Gsz",0,0,0,0.554054054054054,0,0.0408163265306122,0.493150684931507,0.6,0,0,0,0.525641025641026,0.554054054054054,0,0,0,0,0.515151515151515,0,0.618421052631579
"Gra",0,0,0.0208333333333333,0.293333333333333,0,0.04,0.293333333333333,0.395348837209302,0,0.0188679245283019,0,0.382716049382716,0.293333333333333,0,0,0,0,0.436170212765957,0,0.3625
"Tcc",0,0,0.0217391304347826,0.435897435897436,0,0.0217391304347826,0.452830188679245,0.490196078431373,0,0,0,0.384615384615385,0.41025641025641,0,0,0,0,0.518987341772152,0,0.425925925925926
"Hha",0,0,0,0.161290322580645,0,0.0125,0.183333333333333,0.228070175438596,0,0,0,0.276923076923077,0.166666666666667,0,0,0,0,0.384615384615385,0,0.189655172413793
"Asi",0,0,0,0.52,0,0,0.411764705882353,0.489795918367347,0,0,0,0.422222222222222,0.519230769230769,0,0,0,0,0.551020408163265,0.142857142857143,0.462962962962963
"Tos",0,0,0,0.323529411764706,0,0,0.277777777777778,0.407407407407407,0,0,0,0.444444444444444,0.333333333333333,0,0,0,0,0,0.0909090909090909,0.361111111111111
"Csv",0,0,0.0638297872340425,0.295454545454545,0,0.0454545454545455,0.217391304347826,0.369565217391304,0,0,0,0.342857142857143,0.266666666666667,0,0,0,0,0.377777777777778,0,0.304347826086957
