"GeneFamily","ConsecutiveZeros","Trait"
"GTG1(GPCR)",8,"list_1"
"AREB1/ABF2",7,"list_1"
"GCR2(GPCR)",7,"list_1"
"AGB1",6,"list_1"
"ABA3",5,"list_1"
"PSY",5,"list_1"
"PYR1",4,"list_1"
"ABA4",4,"list_1"
"GPA1",4,"list_1"
"PYL1",4,"list_1"
"ABAR/CHLH",3,"list_1"
"AAO3",3,"list_1"
"NCED3",2,"list_1"
"ZEP(ABA1)",2,"list_1"
"AIT1",2,"list_1"
"PDS",1,"list_1"
"ABCG25",0,"list_1"
"LUT5(CYP97A3)",0,"list_1"
"ABA2",0,"list_1"
"SnRK2.2",0,"list_1"
"CPK3",0,"list_1"
"ABI1(PP2CgroupA)",0,"list_1"
"DTX50",0,"list_1"
"CIPK",0,"list_1"
"BIM1",8,"list_2"
"BIC1",8,"list_2"
"PIF4",7,"list_2"
"STO/BBX24",7,"list_2"
"COR27",7,"list_2"
"BES1",5,"list_2"
"WRKY36",5,"list_2"
"COP1",4,"list_2"
"RUP1",4,"list_2"
"F3RhaT",3,"list_2"
"F3H",3,"list_2"
"F7GlcT",3,"list_2"
"ANS",3,"list_2"
"CYCB1;1",3,"list_2"
"UVR8",3,"list_2"
"A3Glc:2_XylT",3,"list_2"
"A5GlcT",3,"list_2"
"MYB13",3,"list_2"
"PFG1/MYB12",3,"list_2"
"SPA1",3,"list_2"
"MYB73",3,"list_2"
"F3AraT",3,"list_2"
"FLS1",3,"list_2"
"ATR",3,"list_2"
"Fd3GlcT",3,"list_2"
"F3Glc:2_XGlcT",3,"list_2"
"F7RhaT",3,"list_2"
"FLS3",3,"list_2"
"CHI",2,"list_2"
"FPT2",2,"list_2"
"CHS",2,"list_2"
"F3:H",2,"list_2"
"HY5",2,"list_2"
"CHIL",2,"list_2"
"HYH",2,"list_2"
"PHYB",1,"list_2"
"CRY1",1,"list_2"
"BGLU6",1,"list_2"
"DFR",0,"list_2"
"MKP1",0,"list_2"
"OMT1",0,"list_2"
"CFL1",8,"list_3"
"NFXL2",8,"list_3"
"HUB2",6,"list_3"
"HUB1",6,"list_3"
"ANL2",5,"list_3"
"CD2",5,"list_3"
"LTPG1",5,"list_3"
"HDG1",5,"list_3"
"LTPG2",4,"list_3"
"SHN2",3,"list_3"
"DCF",3,"list_3"
"GPAT4",3,"list_3"
"MYB41",3,"list_3"
"SHN1",3,"list_3"
"MYB106",3,"list_3"
"GPAT6",3,"list_3"
"DCR",3,"list_3"
"BDG1",3,"list_3"
"MYB16",3,"list_3"
"GPAT8",3,"list_3"
"SHN3",3,"list_3"
"CUS1",2,"list_3"
"CYP77A6",2,"list_3"
"CYP77A4",2,"list_3"
"CYP86A4",1,"list_3"
"CYP86A8",1,"list_3"
"CYP86A2",1,"list_3"
"LACS4",0,"list_3"
"ABCG13",0,"list_3"
"HOTHEAD",0,"list_3"
"ABCG11",0,"list_3"
"ABCG32",0,"list_3"
"LACS1",0,"list_3"
"LACS2",0,"list_3"
"ZAT12/RHL41",7,"list_6"
"ZAT10/STZ",7,"list_6"
"ICE1",7,"list_6"
"HOS1",7,"list_6"
"MYB15",3,"list_6"
"RAP2.1",3,"list_6"
"SIZ1",3,"list_6"
"CBF3",3,"list_6"
"CBF1",3,"list_6"
"RAP2.7",3,"list_6"
"LOS2",3,"list_6"
"CBF2",3,"list_6"
"14-3-3λ",3,"list_6"
"CRPK1",1,"list_6"
"MPK3",0,"list_6"
"MKK2",0,"list_6"
"MEKK1",0,"list_6"
"SnRK2.6",0,"list_6"
"MPK4",0,"list_6"
"MKK4",0,"list_6"
