PSY,list_1_AT5G17230
PDS,list_1_AT4G14210
LUT5(CYP97A3),list_1_AT1G31800
ZEP(ABA1),list_1_AT5G67030
ABA4,list_1_AT1G67080
NCED3,list_1_AT3G14440
ABA2,list_1_AT1G52340
ABA3,list_1_AT1G16540
AAO3,list_1_AT2G27150
PYR1,list_1_AT4G17870
PYL1,list_1_AT5G46790
ABI1(PP2CgroupA),list_1_AT4G26080
SnRK2.2,list_1_AT3G50500
AREB1/ABF2,list_1_AT1G45249
ABAR/CHLH,list_1_AT5G13630
GCR2(GPCR),list_1_AT1G52920
GTG1(GPCR),list_1_AT1G64990
GPA1,list_1_AT2G26300
AGB1,list_1_AT4G34460
CPK3,list_1_AT4G23650
CIPK,list_1_AT3G17510
ABCG25,list_1_AT1G71960
AIT1,list_1_AT1G69850
DTX50,list_1_AT5G52050
UVR8,list_2_AT5G63860
HY5,list_2_AT5G11260
HYH,list_2_AT3G17609
PFG1/MYB12,list_2_AT2G47460
COP1,list_2_AT2G32950
SPA1,list_2_AT2G46340
WRKY36,list_2_AT1G69810
STO/BBX24,list_2_AT1G06040
COR27,list_2_AT5G42900
BES1,list_2_AT1G19350
BIM1,list_2_AT5G08130
MYB13,list_2_AT1G06180
MKP1,list_2_AT3G55270
ATR,list_2_AT5G40820
CYCB1;1,list_2_AT4G37490
RUP1,list_2_AT5G52250
CRY1,list_2_AT4G08920
BIC1,list_2_AT3G52740
PHYB,list_2_AT2G18790
MYB73,list_2_AT4G37260
PIF4,list_2_AT2G43010
CHS,list_2_AT5G13930
CHIL,list_2_AT5G05270
CHI,list_2_AT3G55120
F3H,list_2_AT3G51240
F3:H,list_2_AT5G07990
FLS1,list_2_AT5G08640
FLS3,list_2_AT5G63590
DFR,list_2_AT5G42800
ANS,list_2_AT4G22880
OMT1,list_2_AT5G54160
Fd3GlcT,list_2_AT5G17050
A5GlcT,list_2_AT4G14090
A3Glc:2_XylT,list_2_AT5G54060
F3AraT,list_2_AT5G17030
F3RhaT,list_2_AT1G30530
F7RhaT,list_2_AT1G06000
F7GlcT,list_2_AT2G36790
F3Glc:2_XGlcT,list_2_AT5G54010
BGLU6,list_2_AT1G60270
FPT2,list_2_AT2G22960
LACS1,list_3_AT2G47240
LACS2,list_3_AT1G49430
LACS4,list_3_AT4G23850
CYP86A2,list_3_AT4G00360
CYP86A4,list_3_AT1G01600
CYP86A8,list_3_AT2G45970
CYP77A6,list_3_AT3G10570
CYP77A4,list_3_AT5G04660
GPAT4,list_3_AT1G01610
GPAT6,list_3_AT2G38110
GPAT8,list_3_AT4G00400
DCF,list_3_AT3G48720
CUS1,list_3_AT3G04290
HOTHEAD,list_3_AT1G72970
LTPG1,list_3_AT1G27950
LTPG2,list_3_AT3G43720
ABCG11,list_3_AT1G17840
ABCG13,list_3_AT1G51460
ABCG32,list_3_AT2G26910
SHN1,list_3_AT1G15360
SHN2,list_3_AT5G11190
SHN3,list_3_AT5G25390
CFL1,list_3_AT2G33510
CD2,list_3_SOLYC01G091630
ANL2,list_3_AT4G00730
HDG1,list_3_AT3G61150
NFXL2,list_3_AT5G05660
MYB16,list_3_AT5G15310
MYB106,list_3_AT3G01140
MYB41,list_3_AT4G28110
BDG1,list_3_AT1G64670
DCR,list_3_AT5G23940
HUB1,list_3_AT2G44950
HUB2,list_3_AT1G55250
SOS3,list_4_AT5G24270
SOS2,list_4_AT5G35410
SOS1,list_4_AT2G01980
NHX1,list_4_AT5G27150
HKT1,list_4_AT4G10310
AVP1,list_4_AT1G15690
MAPKKK20,list_4_AT3G50310
MPK6,list_4_AT2G43790
MKK4,list_4_AT1G51660
MPK3,list_4_AT3G45640
HSFA1A,list_5_AT4G17750
HSFA1B,list_5_AT5G16820
HSFA2,list_5_AT2G26150
HSFA7A,list_5_AT3G51910
HSFB1,list_5_AT4G36990
DREB2A,list_5_AT5G05410
DREB2C,list_5_AT2G40340
HSFA3,list_5_AT5G03720
HSP70,list_5_AT4G16660
HSP90.1,list_5_AT5G52640
HSP90.2,list_5_AT5G56030
PIF4,list_5_AT2G43010
H2A.Z,list_5_AT3G54560
SGT1A,list_5_AT4G23570
SGT1B,list_5_AT4G11260
HOS1,list_6_AT2G39810
SIZ1,list_6_AT5G60410
ICE1,list_6_AT3G26744
MYB15,list_6_AT3G23250
ZAT12/RHL41,list_6_AT5G59820
CBF3,list_6_AT4G25480
CBF1,list_6_AT4G25490
CBF2,list_6_AT4G25470
LOS2,list_6_AT2G36530
ZAT10/STZ,list_6_AT1G27730
RAP2.1,list_6_AT1G46768
RAP2.7,list_6_AT2G28550
MEKK1,list_6_AT4G08500
MKK2,list_6_AT4G29810
MPK4,list_6_AT4G01370
MKK4,list_6_AT1G51660
MPK3,list_6_AT3G45640
CRPK1,list_6_AT1G16670
14-3-3λ,list_6_AT5G10450
SnRK2.6,list_6_AT4G33950
CesA1,list_7_AT4G32410
CesA3,list_7_AT5G05170
CesA6,list_7_AT5G64740
GH9A1,list_7_AT5G49720
SlCel9C1,list_7_AAD08699
CslA1,list_7_AT4G16590
CslA2,list_7_AT5G22740
MSR1,list_7_AT3G21190
MSR1,list_7_AT1G51630
GMGT1,list_7_AT2G22900
MAN1,list_7_AT1G02310
MAN2,list_7_AT2G20680
AGAL2,list_7_AT5G08370
AGAL3,list_7_AT3G56310
MOAT1,list_7_AT4G11090
CslD3,list_7_AT3G03050
CesA1,list_7_AT1G22015
CslO(GT2),list_7_PNR44324.1
Tft1,list_7_XP_748682.1
GH5BG,list_7_AAM08614.1
GSL5,list_7_AT4G03550
BG2,list_7_AT3G57260
OsEgl1,list_7_Os05g0375400
CslC4,list_7_AT3G28180
FUT1,list_7_AT2G03220
XLT2,list_7_AT5G62220
XT1,list_7_AT3G62720
XTH31,list_7_AT3G44990
AXY8,list_7_AT4G34260
BGAL10,list_7_AT5G63810
AXY3,list_7_AT1G68560
AXY4,list_7_AT1G70230
IRX10 ,list_7_AT1G27440
IRX7,list_7_AT2G28110
IRX9 ,list_7_AT2G37090
IRX14,list_7_AT4G36890
IRX8,list_7_AT5G54690
PARVUS,list_7_AT1G19300
GUX1 ,list_7_AT3G18660
XAT,list_7_AT3G18180
XAX1,list_7_AT3G18170
GXMT1,list_7_AT1G33800
IRX15,list_7_AT3G50220
ESK1,list_7_AT3G55990
BS1,list_7_LOC_Os02g15230
GALT2 ,list_7_AT4G21060
HPGT1,list_7_AT5G53340
GALT31A,list_7_AT1G32930
GALT8,list_7_AT1G22015
GALT29A,list_7_AT1G08280
GlcAT14A,list_7_AT5G39990
RAY1,list_7_AT1G70630
FUT4,list_7_AT2G15390
GH43A,list_7_AT5G67540
Bl1_6Gal,list_7_BAJ67505.1
BGAL8,list_7_BAD20774.2
APSE,list_7_AT3G26380
BXL1,list_7_AT5G49360
AtGUS2,list_7_AT5G07830
AGM1,list_7_AT1G27930
GAUT1,list_7_AT3G61130
GAUT8,list_7_AT3G25140
XGD1,list_7_AT5G33290
PME5,list_7_AT2G47040
ADPG1,list_7_AT3G57510
PL1_1,list_7_AAF19195.1
QUA2,list_7_AT1G78240
QUA3,list_7_AT4G00740
CGR3,list_7_AT5G65810
PMR5,list_7_AT5G58600
RRT1,list_7_AT5G15740
RGGAT1,list_7_AT1G28240
ARAD1,list_7_AT2G35100
GALS1,list_7_AT2G33570
TBG4,list_7_AAC25984.1
TBG5,list_7_AAF70824.1
RGXT1,list_7_AT4G01770
SIA1,list_7_AT1G08660
