size_group,group,log2_fold_change
member=2,CTDG,0.22239242133644802
member=2,CTDG,-0.8930847960834881
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-0.777607578663552
member=2,CTDG,-0.2016338611696506
member=2,CTDG,-0.384663850235325
member=2,CTDG,-1.280107919192735
member=2,CTDG,-1.8744691179161412
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-0.765534746362977
member=2,CTDG,-1.6696328247081467
member=2,CTDG,0.0
member=2,CTDG,-1.8549525962620927
member=2,CTDG,0.22239242133644802
member=2,CTDG,-0.31385107207939916
member=2,CTDG,-1.2447025830615366
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-2.0074706542283614
member=2,CTDG,-5.195699415914016
member=2,CTDG,-1.735530011665031
member=2,CTDG,0.11960940236953753
member=2,CTDG,-2.0
member=2,CTDG,-1.2819124160394832
member=2,CTDG,-0.4150374992788438
member=2,CTDG,-4.149747119504682
member=2,CTDG,-0.7267637627131958
member=2,CTDG,-1.5407405421431086
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.5573197456520274
member=2,CTDG,0.4037221860510098
member=2,CTDG,-3.4112876150260063
member=2,CTDG,-2.3757313761687335
member=2,CTDG,-0.6719962366350911
member=2,CTDG,-2.395296488967053
member=2,CTDG,-2.6181268146055983
member=2,CTDG,-3.9418667338514934
member=2,CTDG,-1.8734380690669048
member=2,CTDG,-3.844152842758251
member=2,CTDG,0.0
member=2,CTDG,-0.6463630453852995
member=2,CTDG,0.5849625007211562
member=2,CTDG,-0.5315814043931326
member=2,CTDG,-1.8127261828753707
member=2,CTDG,0.923674766296551
member=2,CTDG,-2.905745996914364
member=2,CTDG,-3.959850777472009
member=2,CTDG,-1.1154772174199363
member=2,CTDG,-1.2838705031538031
member=2,CTDG,-2.739270386675826
member=2,CTDG,-3.0227599029998555
member=2,CTDG,-0.5145731728297581
member=2,CTDG,-2.6260622571129124
member=2,CTDG,-3.6035439264628817
member=2,CTDG,0.0
member=2,CTDG,2.3211137201105245
member=2,CTDG,0.7362307437538383
member=2,CTDG,0.22239242133644802
member=2,CTDG,-2.1576788862045246
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.909700971192904
member=2,CTDG,0.4314407144081699
member=2,CTDG,1.7622989060393186
member=2,CTDG,-0.6698513983076693
member=2,CTDG,-1.4960391574162828
member=2,CTDG,-3.6416824383601667
member=2,CTDG,-1.8912145057021035
member=2,CTDG,-1.3088117553710998
member=2,CTDG,0.05668941812683848
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-1.749456538349403
member=2,CTDG,3.9541963103868754
member=2,CTDG,-1.2944362161991756
member=2,CTDG,-0.07275634243531408
member=2,CTDG,-2.2276727692297955
member=2,CTDG,-0.8628643136455175
member=2,CTDG,-1.434137322753401
member=2,CTDG,-2.904779849012711
member=2,CTDG,-1.7432245846378884
member=2,CTDG,-3.514453422255638
member=2,CTDG,1.7310868509143316
member=2,CTDG,-2.2200484808681487
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,3.1468413883292716
member=2,CTDG,1.2222611001056192
member=2,CTDG,0.6226629348123973
member=2,CTDG,0.0
member=2,CTDG,-6.684270458220633
member=2,CTDG,0.22239242133644802
member=2,CTDG,-0.7897822926096542
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.7332591211956097
member=2,CTDG,-1.9745328321150128
member=2,CTDG,0.0
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.0
member=2,CTDG,-3.1981448750897705
member=2,CTDG,0.19264507794239583
member=2,CTDG,0.0
member=2,CTDG,-5.807086538643029
member=2,CTDG,0.3957306943024369
member=2,CTDG,0.0
member=2,CTDG,-5.681398152135704
member=2,CTDG,0.0
member=2,CTDG,2.544483122880756
member=2,CTDG,0.0
member=2,CTDG,0.8415706373955171
member=2,CTDG,0.0
member=2,CTDG,-0.9129676268289074
member=2,CTDG,-0.9004643264490854
member=2,CTDG,-2.5265806260452144
member=2,CTDG,-3.3725427446962946
member=2,CTDG,-0.5849625007211563
member=2,CTDG,-0.3687819083179712
member=2,CTDG,-1.7406679786811947
member=2,CTDG,-3.327605664724206
member=2,CTDG,-0.5014057215320459
member=2,CTDG,-1.2223924213364479
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-1.1069152039165115
member=2,CTDG,-4.481126689736616
member=2,CTDG,-3.0314782314731685
member=2,CTDG,-3.7651343869762286
member=2,CTDG,0.0
member=2,CTDG,-1.3699496097503057
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-3.514926731229001
member=2,CTDG,-2.6568470282944854
member=2,CTDG,-3.0297473433940523
member=2,CTDG,0.0
member=2,CTDG,-0.5421861260455955
member=2,CTDG,-2.9848931076097918
member=2,CTDG,0.0
member=2,CTDG,-3.649813645071124
member=2,CTDG,0.0
member=2,CTDG,-1.3380929143183693
member=2,CTDG,0.5298209465286952
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.6374299206152916
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-0.6356796391734841
member=2,CTDG,0.0
member=2,CTDG,-1.1884559298568953
member=2,CTDG,-0.43143403897678917
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-1.7162070339994087
member=2,CTDG,-0.39407420568458246
member=2,CTDG,0.10067009078325057
member=2,CTDG,3.3892380298467883
member=2,CTDG,-3.2558982245521655
member=2,CTDG,-1.2360673582335244
member=2,CTDG,0.0
member=2,CTDG,-0.5758602936139039
member=2,CTDG,-1.3940014759287767
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,-1.7004397181410924
member=2,CTDG,-3.4830828867019425
member=2,CTDG,-2.6887104255589853
member=2,CTDG,-4.683264574332959
member=2,CTDG,-0.19264507794239571
member=2,CTDG,-0.5658341883471008
member=2,CTDG,-2.32854597365187
member=2,CTDG,-1.5070219748008347
member=2,CTDG,10.181152256865566
member=2,CTDG,0.0
member=2,CTDG,-0.4150374992788438
member=2,CTDG,-2.116399634339083
member=2,CTDG,-2.0
member=2,CTDG,-1.2223924213364479
member=2,CTDG,-4.219135016553917
member=2,CTDG,-1.2223924213364479
member=2,CTDG,-0.30165569986110136
member=2,CTDG,0.0
member=2,CTDG,-1.6657745463092535
member=2,CTDG,-0.9341448978376751
member=2,CTDG,-1.91888039271146
member=2,CTDG,-1.3743647533652579
member=2,CTDG,0.2238960119268355
member=2,CTDG,-1.5941180284124
member=2,CTDG,-1.0225565551796978
member=2,CTDG,-0.017358839594645747
member=2,CTDG,-1.4300813795032938
member=2,CTDG,0.5269793166147478
member=2,CTDG,-1.908807434703491
member=2,CTDG,-2.4262647547020983
member=2,CTDG,-7.984356536572621
member=2,CTDG,-1.4082801331035353
member=2,CTDG,0.0
member=2,CTDG,-1.7777971948879017
member=2,CTDG,-2.0364786842940013
member=2,CTDG,0.6046987187824184
member=2,CTDG,0.6689606738641268
member=2,CTDG,-1.0353433783344892
member=2,CTDG,-1.5058909297299576
member=2,CTDG,-1.1844009782210352
member=2,CTDG,1.1704963658224097
member=2,CTDG,0.0
member=2,CTDG,-0.9725314320070149
member=2,CTDG,-1.726495901507244
member=2,CTDG,0.19264507794239583
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,2.495927686605697
member=2,CTDG,0.8203039145368003
member=2,CTDG,-4.481126689736616
member=2,CTDG,0.0
member=2,CTDG,-3.3766073396900986
member=2,CTDG,-1.723733737870063
member=2,CTDG,-0.1947416378621584
member=2,CTDG,0.0
member=2,CTDG,-0.3269949744793798
member=2,CTDG,-0.9401758400719407
member=2,CTDG,-1.3707079799356652
member=2,CTDG,-0.8882353123972664
member=2,CTDG,0.0
member=2,CTDG,-4.1065954222370715
member=2,CTDG,-4.459431618637297
member=2,CTDG,0.0
member=2,CTDG,-0.38233333420613813
member=2,CTDG,0.0
member=2,CTDG,-6.00143814104704
member=2,CTDG,-2.92992156426386
member=2,CTDG,-1.3910886559547226
member=2,CTDG,-4.4777489419197245
member=2,CTDG,-2.664453094381838
member=2,CTDG,-3.6228891414623448
member=2,CTDG,-2.2971762861256284
member=2,CTDG,-1.2479275134435857
member=2,CTDG,-1.772700853029919
member=2,CTDG,-0.21757741464453031
member=2,CTDG,-1.7937516202577837
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-1.1381022766287883
member=2,CTDG,-3.523242434065181
member=2,CTDG,0.0
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-0.6513558896494409
member=2,CTDG,-6.420230168499166
member=2,CTDG,0.0
member=2,CTDG,-2.2161334308647658
member=2,CTDG,-2.046693235448042
member=2,CTDG,-1.6409373336842306
member=2,CTDG,-1.0
member=2,CTDG,-1.7780771295353583
member=2,CTDG,-0.15070154753512133
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-0.6101958154489886
member=2,CTDG,0.6780719051126375
member=2,CTDG,-2.321928094887362
member=2,CTDG,-0.7369655941662059
member=2,CTDG,-0.22239242133644802
member=2,CTDG,-0.3098115579315154
member=2,CTDG,0.22239242133644802
member=2,CTDG,0.16707517134567798
member=2,CTDG,-2.7093680356021763
member=2,CTDG,-4.210014289057823
member=2,CTDG,0.0
member=2,CTDG,-1.1154772174199363
member=2,CTDG,-2.7076816589742894
member=2,CTDG,-0.649730477262115
member=2,CTDG,-2.2162890697926785
member=2,CTDG,2.3507587470016316
member=2,CTDG,-3.0517435750939983
member=2,CTDG,-1.9873038631415165
member=2,CTDG,-0.7222673619260207
member=2,CTDG,-1.1251923722531476
member=2,CTDG,-3.9511197318298614
member=2,CTDG,-2.473757149482948
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.39539498723196576
member=2,CTDG,-2.314584043186736
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.0
member=2,CTDG,0.22239242133644802
member=2,CTDG,-5.2761244052742375
member=2,CTDG,-3.4709839042820754
member=2,CTDG,-0.7421035100805298
member=2,CTDG,-0.5263608620206104
member=2,CTDG,-2.6129768768907526
member=2,CTDG,-1.9641548010532779
member=2,CTDG,-1.415037499278844
member=2,CTDG,0.28950661719498505
member=2,CTDG,-2.1463493535914133
member=2,CTDG,0.1371072333914785
member=2,CTDG,-0.30238592581318735
member=2,CTDG,2.3030005496804082
member=2,CTDG,-0.26788440929383184
member=2,CTDG,0.0
member=2,CTDG,2.9463696022953347
member=2,CTDG,2.5767235509086786
