"gene","variation","cv","mean_ratio","correlation","p_value","p_adj"
"list_1_AT3G17510",0.875,0.610058484595116,0.333474011071674,-0.394694798808457,1.82057275676631e-09,2.82888997589841e-08
"list_3_AT3G04290",1,0.551248975802035,0.351145136710802,-0.383674634244586,2.41052692862919e-08,2.11707147644825e-07
"list_1_AT5G67030",1,0.933308393472135,0.288822403310193,-0.368670118091391,2.33896684196141e-08,2.11707147644825e-07
"list_2_AT5G42800",1,0.592044503549347,0.343873633835515,-0.347285886117849,1.85023754332011e-07,1.09925877573724e-06
"list_4_AT5G27150",1,1.29499665237987,0.139482680914462,-0.297445633112171,8.6978244148552e-06,4.50502700461731e-05
"list_2_AT5G07990",0.887640449438202,0.465723450213462,0.490169050571512,-0.293853147483294,3.692322657505e-05,0.000165744261514669
"list_3_AT3G10570",0.915492957746479,0.463583058826157,0.462414775153644,-0.28064252888257,6.76990880596772e-05,0.000277149998790703
"list_2_AT5G54160",0.942857142857143,0.590602226244136,0.427577498108328,-0.280002757193701,4.77961950180227e-05,0.000205421944545544
"list_4_AT5G24270",0.909090909090909,0.912393436428924,0.199547911119305,-0.250793409225826,0.000258423240102063,0.000966694342604013
"list_3_AT5G04660",0.904109589041096,0.451340893018821,0.468942407625297,-0.249441608747601,0.000468224406838264,0.00160307339290389
"list_3_AT1G72970",1,1.22781274558963,0.175924633493777,-0.242753180437691,0.000360886613960742,0.00127893150912403
"list_3_AT3G43720",1,0.568243937717112,0.439453317340209,-0.205125986111133,0.0053434981521173,0.0134923328340962
"list_2_AT3G55120",1,2.92499353195718,0.0820133234641006,-0.195881759042983,0.00633155420080223,0.0157898018340994
"list_6_AT1G16670",1,0.4744661782534,0.412450972173659,-0.176578714184258,0.0140294541655917,0.0320506005587931
"list_4_AT2G01980",1,1.80249376375011,0.0997048558676466,-0.169508105652784,0.0128093601692058,0.0297412730365468
"list_3_AT1G64670",1,1.65770197369157,0.134277631396174,-0.166955497061989,0.0190320796338578,0.0404682114319923
