"gene","correlation","p_value","p_adj"
"list_1_AT1G52340",-0.484372210411867,4.16661222675276e-14,4.40035629282936e-12
"list_5_AT5G05410",-0.485039162316111,4.35678840874194e-14,4.40035629282936e-12
"list_1_AT4G26080",-0.470293959327264,2.76073751820409e-13,1.85889659559075e-11
"list_4_AT3G45640",-0.436412095017269,1.86174596751193e-11,6.70834501265039e-10
"list_6_AT3G45640",-0.436412095017269,1.86174596751193e-11,6.70834501265039e-10
"list_6_AT4G01370",-0.43583381668282,1.99257772652982e-11,6.70834501265039e-10
"list_4_AT2G43790",-0.431247735411153,3.39908531129471e-11,9.80878904116475e-10
"list_4_AT3G50310",-0.429210459227401,4.29821920828409e-11,1.08530035009173e-09
"list_3_AT4G00360",-0.417396703367291,1.62593082493868e-10,3.6493114070846e-09
"list_1_AT5G52050",-0.408994930467029,4.89814211518108e-10,9.89424707266578e-09
"list_3_AT1G01600",-0.401626062214771,8.87619367894042e-10,1.6299919301327e-08
"list_3_AT2G45970",-0.401097971020048,1.026382193518e-09,1.72774335908863e-08
"list_1_AT3G17510",-0.394694798808457,1.82057275676631e-09,2.82888997589841e-08
"list_6_AT4G29810",-0.390867254714984,2.68797831134656e-09,3.87836870637146e-08
"list_6_AT4G08500",-0.384834198502206,4.91802629069322e-09,6.62294207146687e-08
"list_4_AT5G35410",-0.383503536645967,5.60980159134609e-09,7.08237450907444e-08
"list_2_AT2G22960",-0.389354391731635,6.15424830451672e-09,7.31269504419046e-08
"list_3_AT2G47240",-0.37309545591098,1.53914648197598e-08,1.72726438532859e-07
"list_4_AT1G51660",-0.370807422276266,1.91244174268976e-08,1.93156616011666e-07
"list_6_AT1G51660",-0.370807422276266,1.91244174268976e-08,1.93156616011666e-07
"list_1_AT5G67030",-0.368670118091391,2.33896684196141e-08,2.11707147644825e-07
"list_3_AT3G04290",-0.383674634244586,2.41052692862919e-08,2.11707147644825e-07
"list_6_AT4G33950",-0.368675750017809,2.337730809546e-08,2.11707147644825e-07
"list_3_AT1G49430",-0.367423863873351,2.6285418102397e-08,2.21235602361842e-07
"list_3_AT1G51460",-0.366729859162454,2.80446525207596e-08,2.26600792367738e-07
"list_1_AT1G31800",-0.36546094583037,3.15587916080546e-08,2.45187534801039e-07
"list_3_AT4G23850",-0.359427947978238,5.49368097503779e-08,4.11008724799124e-07
"list_3_AT1G17840",-0.358849093830065,5.7903071182016e-08,4.17729299241687e-07
"list_1_AT3G50500",-0.357091799077904,6.78822721580555e-08,4.61452246326738e-07
"list_5_AT2G40340",-0.357768957877174,6.85325118307036e-08,4.61452246326738e-07
"list_1_AT1G71960",-0.355303523366092,7.9726208325509e-08,5.10811368880575e-07
"list_1_AT4G23650",-0.355137616079118,8.09206128919722e-08,5.10811368880575e-07
"list_2_AT1G60270",-0.352378079554594,1.27113291111566e-07,7.78087418319285e-07
"list_2_AT5G42800",-0.347285886117849,1.85023754332011e-07,1.09925877573724e-06
"list_3_AT2G26910",-0.333423755033424,5.27159157920272e-07,3.04246142571129e-06
"list_7_AT3G57510",-0.328447830994104,2.05202679333358e-06,1.15141503403717e-05
"list_7_AT5G05170",-0.321004221634682,2.69534753094007e-06,1.47151405743215e-05
"list_7_AT5G64740",-0.319004472061572,3.13304193913199e-06,1.6654591360649e-05
"list_4_AT5G27150",-0.297445633112171,8.6978244148552e-06,4.50502700461731e-05
"list_7_AT5G63810",-0.302293155476904,1.16836526350192e-05,5.90024458068467e-05
"list_7_AT4G32410",-0.298599476273383,1.58562425402182e-05,7.81209998322948e-05
"list_2_AT5G17030",-0.306166497019585,1.83139290461561e-05,8.80812777934172e-05
"list_7_AT3G03050",-0.29441492803157,2.10827899632494e-05,9.90400830831714e-05
"list_5_AT4G16660",-0.282514146453311,2.50701270559747e-05,0.00011509467421152
"list_2_AT5G07990",-0.293853147483294,3.692322657505e-05,0.000165744261514669
"list_7_AT5G49360",-0.280145948422324,4.34438654887999e-05,0.000190775235407339
"list_2_AT5G54160",-0.280002757193701,4.77961950180227e-05,0.000205421944545544
"list_2_AT5G17050",-0.289991940392808,5.17446130572595e-05,0.0002177585799493
"list_2_AT1G30530",-0.285427559200551,6.86014848491838e-05,0.000277149998790703
"list_3_AT3G10570",-0.28064252888257,6.76990880596772e-05,0.000277149998790703
"list_2_AT4G14090",-0.281252675532122,8.8414427887658e-05,0.00035019047908445
"list_1_AT4G34460",-0.256821717125193,0.00013518898205474,0.000525157199520338
"list_7_AT2G47040",-0.269614521653305,0.000138079618670791,0.000526265716443392
"list_4_AT5G24270",-0.250793409225826,0.000258423240102063,0.000966694342604013
"list_2_AT2G36790",-0.259901491861301,0.000304294810776033,0.00111759185048652
"list_2_AT1G06000",-0.258127097114385,0.000335679171885657,0.00121084272715898
"list_3_AT1G72970",-0.242753180437691,0.000360886613960742,0.00127893150912403
"list_3_AT5G23940",-0.253168282226005,0.000381839938521678,0.00132985633760998
"list_3_AT5G04660",-0.249441608747601,0.000468224406838264,0.00160307339290389
"list_7_AT1G51630",-0.24204908128947,0.000554128708818222,0.00186556665302135
"list_7_AT2G28110",-0.228668941649665,0.000772859741465422,0.00255930602911501
"list_7_AT4G00740",-0.235909089754446,0.000795331075579115,0.00259123995591905
"list_2_AT3G51240",-0.231099955136555,0.00105388311015505,0.00337911727383048
"list_7_AT1G78240",-0.227720592330917,0.00121743369637102,0.00384252510417103
"list_2_AT4G22880",-0.224586593813237,0.00155281908414293,0.00482568392302878
"list_7_AT5G15740",-0.220788387047041,0.00167963815256369,0.00504297305972062
"list_7_AT1G27440",-0.213818227870066,0.0016976344953515,0.00504297305972062
"list_7_AT5G33290",-0.214755205580813,0.00165987811389121,0.00504297305972062
"list_5_AT4G36990",-0.213036253605764,0.00181217813130854,0.00530521713803371
"list_7_AT3G21190",-0.215544207369024,0.00217479929846546,0.0062758494041432
"list_2_AT5G54010",-0.220458768153892,0.00230143941197145,0.0065477572002568
"list_2_AT4G37490",-0.202324349433549,0.00281498859756988,0.00789760689873771
"list_7_AT2G35100",-0.200429960262181,0.00369918977934811,0.0102361141839496
"list_5_AT5G16820",-0.193734526749152,0.00444822634964067,0.0119769330725547
"list_5_AT3G51910",-0.193180068903214,0.00456546458706292,0.0119769330725547
"list_5_AT2G26150",-0.193197442104334,0.00456174931510176,0.0119769330725547
"list_5_AT4G17750",-0.193734526749152,0.00444822634964067,0.0119769330725547
"list_5_AT5G03720",-0.192338225810351,0.00474878673432241,0.0122503117489814
"list_7_AT3G18660",-0.193500061508801,0.00479096350578974,0.0122503117489814
"list_3_AT3G43720",-0.205125986111133,0.0053434981521173,0.0134923328340962
"list_2_AT3G55120",-0.195881759042983,0.00633155420080223,0.0157898018340994
"list_2_AT5G08640",-0.194168307018846,0.00652985956790431,0.016085751618496
"list_7_AT1G70630",-0.18003474340577,0.00799422553860057,0.0194558260096062
"list_2_AT5G54060",-0.190163696047486,0.00876888470084443,0.0210870798758402
