cluster_id,major_gene,minor_gene,major_tpm,minor_tpm,ratio
ArsA_HSP20_Aty-Chr5_0_HSP20_Aty-Chr5_0,AT5G12030,AT5G12020,8234.76301566028,7870.363851901584,1.0463001673894217
Actin_Aty-Chr5_0_FGGY_C_Aty-Chr5_0_FtsA_Aty-Chr5_0_HSP70_Aty-Chr5_0_MreB_Mbl_Aty-Chr5_0,AT5G02500,AT5G02490,5528.260801694189,477.792169143783,11.570429903865916
HEAT_Aty-Chr3_28,AT3G09350,AT3G09240,2004.4495608590578,0.18508903058634094,10829.650760551234
DnaJ_Aty-Chr2_0,AT2G20560,AT2G20550,1491.148612545988,4.169239910896413,357.65478706294493
MIP_Aty-Chr2_0,AT2G37180,AT2G37170,1185.2612002418393,465.6380507605916,2.545456064653193
DUF5056_Aty-Chr1_0_Dehydrin_Aty-Chr1_0_HSP9_HSP12_Aty-Chr1_0,AT1G20450,AT1G20440,1078.3479276512774,611.2556879426905,1.764151972606887
Actin_Aty-Chr1_0_FGGY_C_Aty-Chr1_0_FtsA_Aty-Chr1_0_HSP70_Aty-Chr1_0_MreB_Mbl_Aty-Chr1_0,AT1G79920,AT1G79930,966.9498454041524,48.74633079413053,19.836361622536344
Caleosin_Aty-Chr1_37_DUF5580_Aty-Chr1_35_Dockerin_1_Aty-Chr1_37_EF-hand_11_Aty-Chr1_35_EF-hand_1_Aty-Chr1_49_EF-hand_4_Aty-Chr1_41_EF-hand_5_Aty-Chr1_42_EF-hand_6_Aty-Chr1_49_EF-hand_7_Aty-Chr1_46_EF-hand_8_Aty-Chr1_39_EF-hand_9_Aty-Chr1_37_EFhand_Ca_insen_Aty-Chr1_35_SPARC_Ca_bdg_Aty-Chr1_37,AT1G21550,AT1G21590,652.6246969625562,43.3103502885163,15.068561963018782
Tetraspanin_Aty-Chr5_0,AT5G47120,AT5G47130,593.3250382719128,0.33477892727880515,1772.2890837086336
DUF1356_Aty-Chr5_0_LEA_2_Aty-Chr5_0,AT5G06320,AT5G06330,427.4317685010999,1.9696892306359484,217.00467355608993
Hydrophob_seed_Aty-Chr1_5_LTP_2_Aty-Chr1_41_Tryp_alpha_amyl_Aty-Chr1_41_Trypan_PARP_Aty-Chr1_2,AT1G12090,AT1G12100,395.0261255794872,0.32049691336304287,1232.5426832801393
Glyco_transf_8_Aty-Chr1_3,AT1G56600,AT1G56550,388.32753889600843,1.1911788900867204,326.00270381532476
RINGv_Aty-Chr1_6,AT1G14200,AT1G14260,359.7136186347639,0.6192800061792697,580.8577946090411
UBA_Aty-Chr4_20,AT4G29330,AT4G29450,316.39592513766564,0.0,inf
Bet_v_1_Aty-Chr3_0_Polyketide_cyc2_Aty-Chr3_0_Polyketide_cyc_Aty-Chr3_0,AT3G26450,AT3G26460,238.95345785181453,0.05897899189110309,4051.501224249653
EF-hand_1_Aty-Chr2_15_EF-hand_6_Aty-Chr2_15_SAP_Aty-Chr2_0,AT2G41410,AT2G41460,209.79923367855963,3.4019061194810765,61.6710827136412
HomeoDOMain_Aty-Chr4_0,AT4G26780,AT4G26920,206.74285413196773,0.0,inf
DUF3339_Aty-Chr1_0_RAMP4_Aty-Chr1_30,AT1G27330,AT1G27350,196.55385800896076,191.11508894126882,1.0284580830211858
Caleosin_Aty-Chr5_31_DUF5580_Aty-Chr5_31_Dockerin_1_Aty-Chr5_31_EF-hand_11_Aty-Chr5_31_EF-hand_1_Aty-Chr5_38_EF-hand_4_Aty-Chr5_33_EF-hand_5_Aty-Chr5_34_EF-hand_6_Aty-Chr5_38_EF-hand_7_Aty-Chr5_38_EF-hand_8_Aty-Chr5_31_EF-hand_9_Aty-Chr5_31_EFhand_Ca_insen_Aty-Chr5_31_SPARC_Ca_bdg_Aty-Chr5_31,AT5G42380,AT5G42440,178.05192516799232,6.160286456874683,28.903189229015812
3Beta_HSD_Aty-Chr3_6_Epimerase_Aty-Chr3_6_KR_Aty-Chr3_6_adh_short_Aty-Chr3_6_adh_short_C2_Aty-Chr3_6,AT3G23810,AT3G23820,176.46278814432932,162.0671967127325,1.0888248314500886
UBA_Aty-Chr3_33,AT3G17611,AT3G17510,150.77567294901306,25.969151556719783,5.805952983088441
zf-CCHC_Aty-Chr2_1,AT2G21130,AT2G21060,135.78142575671095,15.462353224039342,8.781420511440095
UBA_Aty-Chr2_16,AT2G41160,AT2G41140,126.3094513952614,57.56889859632509,2.194057111999783
TAL_effector_Aty-Chr3_0_peroxidase_Aty-Chr3_0,AT3G49120,AT3G49110,123.598933235075,13.879812120241903,8.904942816540146
Rotamase_3_Aty-Chr2_1,AT2G17840,AT2G17850,123.31617583113996,0.3539979105756685,348.35283527692076
CASP_DOM_Aty-Chr3_0_Cyt-b5_Aty-Chr3_0_DUF3474_Aty-Chr3_0_DUF677_Aty-Chr3_3_FA_desaturase_Aty-Chr3_0_Lipid_DES_Aty-Chr3_0_Na_Ca_ex_Aty-Chr3_0_ROH1-like_Aty-Chr3_3_SNARE_assoc_Aty-Chr3_0_Tetraspanin_Aty-Chr3_0,AT3G15850,AT3G15870,104.8310060367279,0.3129588992266856,334.9673273256103
AAA_16_Aty-Chr4_4_AAA_18_Aty-Chr4_3_AAA_21_Aty-Chr4_2_AAA_22_Aty-Chr4_3_ATP_bind_1_Aty-Chr4_2_Arf_Aty-Chr4_3_FeoB_N_Aty-Chr4_3_G-alpha_Aty-Chr4_2_GTP_EFTU_Aty-Chr4_3_Gtr1_RagA_Aty-Chr4_3_Guanylate_kin_Aty-Chr4_2_MMR_HSR1_Aty-Chr4_3_MnmE_helical_Aty-Chr4_3_RNA_helicase_Aty-Chr4_2_Ras_Aty-Chr4_3_Roc_Aty-Chr4_3_SRPRB_Aty-Chr4_3_Zeta_toxin_Aty-Chr4_2,AT4G39520,AT4G39540,100.54885398316942,23.897092308667464,4.207576917075405
Caleosin_Aty-Chr2_10_DUF5580_Aty-Chr2_10_Dockerin_1_Aty-Chr2_10_EF-hand_11_Aty-Chr2_10_EF-hand_1_Aty-Chr2_12_EF-hand_4_Aty-Chr2_10_EF-hand_5_Aty-Chr2_11_EF-hand_6_Aty-Chr2_12_EF-hand_7_Aty-Chr2_11_EF-hand_8_Aty-Chr2_10_EF-hand_9_Aty-Chr2_10_EFhand_Ca_insen_Aty-Chr2_10_SPARC_Ca_bdg_Aty-Chr2_10,AT2G43290,AT2G43230,100.18305998872485,0.32060301281571885,312.48321439296524
CAF1_Aty-Chr3_0_RNase_H_2_Aty-Chr3_0,AT3G44260,AT3G44240,99.3793243270366,0.0,inf
U-box_Aty-Chr3_30_Usp_Aty-Chr3_33,AT3G03270,AT3G03290,88.65822829563292,0.0,inf
Beta_elim_lyase_Aty-Chr4_2_SHMT_Aty-Chr4_2,AT4G13930,AT4G13890,86.95656424142813,2.8584354461216788,30.421034821482735
Kinase-like_Aty-Chr3_17_PK_Tyr_Ser-Thr_Aty-Chr3_17_PP2C_2_Aty-Chr3_15_PP2C_Aty-Chr3_15_Pkinase_Aty-Chr3_17,AT3G62260,AT3G62220,86.18157505929315,7.56800805291789,11.387616722482917
