cluster_id,major_gene,minor_gene,major_tpm,minor_tpm,ratio
Chloroa_b-bind_Aty-Chr2_0,AT2G34420,AT2G34430,3491.4257392536183,403.08554201324415,8.661748872994558
Chloroa_b-bind_Aty-Chr2_1,AT2G05100,AT2G05070,1722.5138194777974,1022.9410955116109,1.6838836830739545
3Beta_HSD_Aty-Chr3_6_Epimerase_Aty-Chr3_6_KR_Aty-Chr3_6_adh_short_Aty-Chr3_6_adh_short_C2_Aty-Chr3_6,AT3G23810,AT3G23820,1075.1616847889984,283.2759213066457,3.7954573753733825
Nup35_RRM_Aty-Chr2_0_RRM_1_Aty-Chr2_1_RRM_2_Aty-Chr2_0_RRM_3_Aty-Chr2_0_RRM_5_Aty-Chr2_0_RRM_7_Aty-Chr2_1_RRM_occluded_Aty-Chr2_0_Ribosomal_S19_Aty-Chr2_0_zf-CCHC_Aty-Chr2_0,AT2G21660,AT2G21690,692.4110052120336,0.0,inf
Bet_v_1_Aty-Chr1_4_Polyketide_cyc2_Aty-Chr1_4_Polyketide_cyc_Aty-Chr1_4,AT1G23130,AT1G23120,686.091423418285,6.601664484335168,103.92703613555105
Alliinase_C_Aty-Chr4_1_Aminotran_1_2_Aty-Chr4_2_Aminotran_3_Aty-Chr4_1_Aminotran_5_Aty-Chr4_2_Beta_elim_lyase_Aty-Chr4_1_Cys_Met_Meta_PP_Aty-Chr4_1_DegT_DnrJ_EryC1_Aty-Chr4_1_EGF_alliinase_Aty-Chr4_1_MTS_Aty-Chr4_4_Met_10_Aty-Chr4_2_Methyltransf_25_Aty-Chr4_6_Methyltransf_31_Aty-Chr4_6_PrmA_Aty-Chr4_6_Pyridoxal_deC_Aty-Chr4_1_SHMT_Aty-Chr4_1,AT4G23600,AT4G23590,441.11227625225973,0.7156709183397423,616.3618849786146
Pmp3_Aty-Chr4_0,AT4G30650,AT4G30660,334.788130262405,48.795518468769124,6.861042586865459
2OG-FeII_Oxy_Aty-Chr4_3_DIOX_N_Aty-Chr4_3,AT4G22880,AT4G22870,323.8036385955665,0.0,inf
FBA_3_Aty-Chr5_10,AT5G42650,AT5G42700,271.03750263271826,1.2860844625435461,210.74626941427735
DUF5056_Aty-Chr3_0_Dehydrin_Aty-Chr3_0_HSP9_HSP12_Aty-Chr3_0,AT3G50970,AT3G50980,244.4392904388399,3.229507540706351,75.68933881026847
DUF1356_Aty-Chr5_0_LEA_2_Aty-Chr5_0,AT5G06320,AT5G06330,215.75389245567456,4.625431098318907,46.64514244609317
MIP_Aty-Chr2_0,AT2G37170,AT2G37180,138.72288303725938,73.8306431764585,1.8789336929614113
potato_inhibit_Aty-Chr5_0,AT5G43580,AT5G43570,136.758085635989,5.713430682196022,23.936246581611538
DUF5382_Aty-Chr3_0_PMEI_Aty-Chr3_7_Pectate_lyase_3_Aty-Chr3_2_Pectinesterase_Aty-Chr3_5,AT3G14310,AT3G14300,127.59494899646494,0.0,inf
Glyco_tran_28_C_Aty-Chr1_1_UDPGT_Aty-Chr1_1,AT1G05560,AT1G05530,119.05987205289371,1.48336703913632,80.26325845976426
Asp_Aty-Chr1_0_Asp_protease_2_Aty-Chr1_0_SapB_1_Aty-Chr1_0_SapB_2_Aty-Chr1_0_TAXi_C_Aty-Chr1_0_TAXi_N_Aty-Chr1_0,AT1G03220,AT1G03230,115.47170940983403,26.969429637749183,4.2815777330421545
Acid_phosphat_B_Aty-Chr5_0,AT5G24770,AT5G24780,110.26496620524983,25.963960717577717,4.246846904624993
Bet_v_1_Aty-Chr2_0_Polyketide_cyc2_Aty-Chr2_0_Polyketide_cyc_Aty-Chr2_0,AT2G01530,AT2G01520,108.79759426171269,35.664726684021595,3.0505657655987553
Hydrophob_seed_Aty-Chr5_9_LTP_2_Aty-Chr5_35_Prolamin_like_Aty-Chr5_9_Tryp_alpha_amyl_Aty-Chr5_35_Trypan_PARP_Aty-Chr5_4,AT5G48485,AT5G48490,91.29216491563375,85.19089407897418,1.0716188144592487
U-box_Aty-Chr3_27_Usp_Aty-Chr3_31,AT3G11930,AT3G11870,83.54092821406691,0.0,inf
TAL_effector_Aty-Chr3_0_peroxidase_Aty-Chr3_0,AT3G49120,AT3G49110,82.52320084057078,8.864643248866933,9.309252332418316
MMR_HSR1_Aty-Chr1_8_TIR_Aty-Chr1_3,AT1G63090,AT1G63160,78.91914430594932,8.193087247507805,9.632406188516441
Acetyltransf_10_Aty-Chr2_1_Acetyltransf_13_Aty-Chr2_1_Acetyltransf_1_Aty-Chr2_1_Acetyltransf_3_Aty-Chr2_1_Acetyltransf_4_Aty-Chr2_1_Acetyltransf_7_Aty-Chr2_1_Acetyltransf_8_Aty-Chr2_1_Acetyltransf_9_Aty-Chr2_1_Acetyltransf_CG_Aty-Chr2_1_FR47_Aty-Chr2_1_zf-C2H2_3_Aty-Chr2_1,AT2G32020,AT2G32030,73.8842984624726,8.849915560564616,8.348587956217614
GST_C_2_Aty-Chr1_4_GST_C_3_Aty-Chr1_4_GST_C_5_Aty-Chr1_4_GST_C_6_Aty-Chr1_4_GST_C_Aty-Chr1_4_GST_N_2_Aty-Chr1_4_GST_N_3_Aty-Chr1_4_GST_N_4_Aty-Chr1_4_GST_N_Aty-Chr1_4_Glutaredoxin_Aty-Chr1_9_Thioredoxin_2_Aty-Chr1_10_Tom37_Aty-Chr1_4,AT1G27130,AT1G27140,71.45637114638622,4.892344978363375,14.605750711040487
Oxidored_FMN_Aty-Chr1_0,AT1G76680,AT1G76690,70.41004419798104,21.806430387598386,3.2288661163921715
