cluster_id,major_gene,minor_gene,major_tpm,minor_tpm,ratio
RuBisCO_small_Ppa-Chr13_0,Pp3c13_15980,Pp3c13_16000,827.9384504197324,120.68411788717644,6.860376202888141
Chloroa_b-bind_Ppa-Chr01_0,Pp3c1_34240,Pp3c1_34210,694.5050513133837,322.48838219781277,2.153581616119671
Fer2_Ppa-Chr04_0,Pp3c4_8159,Pp3c4_8171,460.742568587138,219.56649638628448,2.098419276939917
PPR_1_Ppa-Chr09_0_PPR_2_Ppa-Chr09_0_PPR_3_Ppa-Chr09_0_PPR_Ppa-Chr09_0,Pp3c9_15260,Pp3c9_15262,399.0226681840557,0.0,inf
Abhydrolase_1_Ppa-Chr16_0_Abhydrolase_6_Ppa-Chr16_0_Hydrolase_4_Ppa-Chr16_0_Rhodanese_Ppa-Chr16_0_Ser_hydrolase_Ppa-Chr16_0,Pp3c16_18502,Pp3c16_18500,379.550241388158,0.0,inf
FTR1_Ppa-Chr15_0,Pp3c15_10680,Pp3c15_10670,373.2279509740135,5.088404462592396,73.34871937123185
LEA_2_Ppa-Chr18_0,Pp3c18_6770,Pp3c18_6780,253.49915324500384,172.65788691556463,1.4682164700010099
PK_Tyr_Ser-Thr_Ppa-Chr11_5_Pkinase_Ppa-Chr11_5,Pp3c11_6620,Pp3c11_6630,222.04784769244293,0.0,inf
S-AdoMet_synt_C_Ppa-Chr19_0_S-AdoMet_synt_M_Ppa-Chr19_0_S-AdoMet_synt_N_Ppa-Chr19_0,Pp3c19_3060,Pp3c19_3030,104.88965600098483,40.833488329342046,2.5687165190247394
Chloroa_b-bind_Ppa-Chr12_0,Pp3c12_25460,Pp3c12_25430,102.63554351012101,43.48480521326482,2.360262234285289
RRM_1_Ppa-Chr12_0_RRM_7_Ppa-Chr12_0,Pp3c12_23420,Pp3c12_23410,96.16955224375143,64.73339979654291,1.4856249254019154
CMAS_Ppa-Chr16_0_FtsJ_Ppa-Chr16_0_MTS_Ppa-Chr16_0_Met_10_Ppa-Chr16_0_Methyltransf_11_Ppa-Chr16_0_Methyltransf_12_Ppa-Chr16_0_Methyltransf_16_Ppa-Chr16_0_Methyltransf_23_Ppa-Chr16_0_Methyltransf_25_Ppa-Chr16_0_Methyltransf_31_Ppa-Chr16_0_Methyltransf_9_Ppa-Chr16_0_PRMT5_Ppa-Chr16_0_PrmA_Ppa-Chr16_0_Ubie_methyltran_Ppa-Chr16_0,Pp3c16_12900,Pp3c16_12920,94.18374181932295,2.3478795230275,40.11438444587508
RuBisCO_small_Ppa-Chr03_0,Pp3c3_20140,Pp3c3_20110,93.54203770313315,53.852645873667285,1.7369998481146693
Chloroa_b-bind_Ppa-Chr20_0,Pp3c20_23240,Pp3c20_23270,66.27213998667902,1.623521142994746,40.82000426827425
Chloroa_b-bind_Ppa-Chr26_0,Pp3c26_12240,Pp3c26_12230,56.51677540702417,34.9435418577606,1.6173739810657568
APH_Ppa-Chr13_1_Kinase-like_Ppa-Chr13_1_PK_Tyr_Ser-Thr_Ppa-Chr13_2_PP2C_Ppa-Chr13_1_Pkinase_Ppa-Chr13_2_Pkinase_fungal_Ppa-Chr13_1,Pp3c13_7450,Pp3c13_7440,53.47192679396367,7.166628971212693,7.461238332380905
Chloroa_b-bind_Ppa-Chr02_1,Pp3c2_36220,Pp3c2_36190,51.862786148494884,6.059222779701436,8.559313303718861
Chloroa_b-bind_Ppa-Chr27_0,Pp3c27_7020,Pp3c27_7010,44.70243710630454,33.53661960036029,1.3329440366680334
LTP_2_Ppa-Chr11_5_Tryp_alpha_amyl_Ppa-Chr11_5,Pp3c11_11470,Pp3c11_11500,43.52940430936564,0.0,inf
Aminotran_5_Ppa-Chr16_0_Beta_elim_lyase_Ppa-Chr16_0,Pp3c16_4550,Pp3c16_4520,40.16864500024913,14.540865126932262,2.762465963998914
FtsZ_C_Ppa-Chr16_0_Misat_Tub_SegII_Ppa-Chr16_0_Tubulin_2_Ppa-Chr16_0_Tubulin_C_Ppa-Chr16_0_Tubulin_Ppa-Chr16_0,Pp3c16_6240,Pp3c16_6220,37.2936834860861,2.0438545881797086,18.246740106545683
AAA_14_Ppa-Chr05_0_AAA_16_Ppa-Chr05_1_AAA_22_Ppa-Chr05_1_AAA_28_Ppa-Chr05_0_AAA_30_Ppa-Chr05_0_AAA_5_Ppa-Chr05_0_AAA_Ppa-Chr05_1_DNA_pol3_delta2_Ppa-Chr05_0_Rad17_Ppa-Chr05_0_RuvB_N_Ppa-Chr05_0,Pp3c5_2650,Pp3c5_2640,31.36270709682563,3.830816454545804,8.186951128814682
AAA_16_Ppa-Chr22_2_AAA_21_Ppa-Chr22_0_AAA_22_Ppa-Chr22_2_AAA_29_Ppa-Chr22_0_ABC2_membrane_3_Ppa-Chr22_0_ABC2_membrane_7_Ppa-Chr22_0_ABC2_membrane_Ppa-Chr22_0_ABC_tran_Ppa-Chr22_0_CASP_DOM_Ppa-Chr22_0_DUF4162_Ppa-Chr22_0_MIP_Ppa-Chr22_0_Rad17_Ppa-Chr22_0_RsgA_GTPase_Ppa-Chr22_0,Pp3c22_15560,Pp3c22_15570,30.650884490839974,0.0,inf
Fasciclin_Ppa-Chr01_1_Lipase_GDSL_2_Ppa-Chr01_1_Lipase_GDSL_Ppa-Chr01_1,Pp3c1_17870,Pp3c1_17860,27.88731933190948,11.333364713951989,2.4606390101942694
Ammonium_transp_Ppa-Chr18_0,Pp3c18_18460,Pp3c18_18430,25.28787833300618,9.585994033770797,2.6380027197929317
Fasciclin_Ppa-Chr21_1_TPR_11_Ppa-Chr21_0_TPR_12_Ppa-Chr21_0_TPR_14_Ppa-Chr21_0_TPR_16_Ppa-Chr21_0_TPR_17_Ppa-Chr21_0_TPR_19_Ppa-Chr21_0_TPR_1_Ppa-Chr21_0_TPR_2_Ppa-Chr21_0_TPR_7_Ppa-Chr21_0_TPR_8_Ppa-Chr21_0_TPR_9_Ppa-Chr21_0,Pp3c21_15880,Pp3c21_15890,24.010716338200584,5.6250016317932605,4.268570555160164
