"GeneFamily","ConsecutiveZeros","Trait"
"GTG1(GPCR)",8,"list_1"
"AREB1/ABF2",7,"list_1"
"GCR2(GPCR)",7,"list_1"
"AGB1",6,"list_1"
"ABA3",5,"list_1"
"PSY",5,"list_1"
"PYR1",4,"list_1"
"ABA4",4,"list_1"
"GPA1",4,"list_1"
"PYL1",4,"list_1"
"ABAR/CHLH",3,"list_1"
"AAO3",3,"list_1"
"NCED3",2,"list_1"
"ZEP(ABA1)",2,"list_1"
"AIT1",2,"list_1"
"PDS",1,"list_1"
"ABCG25",0,"list_1"
"LUT5(CYP97A3)",0,"list_1"
"ABA2",0,"list_1"
"SnRK2.2",0,"list_1"
"CPK3",0,"list_1"
"ABI1(PP2CgroupA)",0,"list_1"
"DTX50",0,"list_1"
"CIPK",0,"list_1"
